Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Dario ?ari?,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Mikal Bridges,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Johnson,Cameron Payne,Chris Paul,Damion Lee,Dario ?ari?,Deandre Ayton,Devin Booker,Duane Washington Jr.,Ish Wainright,Jae Crowder,Josh Okogie,Landry Shamet,Mikal Bridges,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Dario ?ari?,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Duane Washington Jr.,co_inf with Ish Wainright,co_inf with Jae Crowder,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Mikal Bridges,co_inf with Torrey Craig,Shared Games with Kevin Durant,Shared Games with T.J. Warren,Shared Games with Darius Bazley,Shared Games with Saben Lee,Shared Games with Terrence Ross,Darius Bazley,Jaylen Brown,Kevin Durant,Saben Lee,T.J. Warren,Terrence Ross,co_inf with Kevin Durant,co_inf with T.J. Warren,co_inf with Darius Bazley,co_inf with Jaylen Brown,co_inf with Saben Lee,co_inf with Terrence Ross,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
67,58.0,2023/3/11,27-137,PHO,SAC,0,5.416666666666667,1,2,0.5,0.0,1.0,0,2,2,1,0,2,2.0,1,0,0,0,2,4,3.5,-7,1.0,1.0,1.0,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,3.0,71,3.736842105,2.7,74.9,3.942105263,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+21),W (+21)
68,59.0,2023/3/13,27-139,PHO,GSW,0,2.85,1,1,1,0.0,0.0,,0,0,,0,2,2.0,0,0,0,0,0,2,2.3,6,1.0,1.0,1.0,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,3.0,77,4.052631579,2.3,82.5,4.342105263,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+4),W (+4)
69,60.0,2023/3/14,27-140,PHO,MIL,0,14.316666666666666,5,6,0.833,0.0,1.0,0,2,2,1,1,2,3.0,2,0,0,1,1,12,11.1,13,5.0,5.0,1.0,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,8.0,71,3.736842105,10.3,66.1,3.478947368,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+31),W (+31)
70,61.0,2023/3/16,27-142,PHO,ORL,0,12.666666666666666,4,6,0.667,0.0,0.0,,0,0,,1,2,3.0,2,0,0,3,4,8,3.5,2,6.0,4.0,0.666666667,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,4.0,80,4.210526316,3.5,81.6,4.294736842,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-9),L (-9)
71,62.0,2023/3/19,27-145,PHO,OKC,0,14.833333333333334,2,5,0.4,1.0,1.0,1,0,1,0,2,1,3.0,1,1,0,1,3,5,3.1,2,4.0,1.0,0.25,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,3.0,101,5.315789474,3.1,106.6,5.610526316,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-11),L (-11)
72,63.0,2023/3/22,27-148,PHO,LAL,0,20.53333333333333,2,6,0.333,0.0,1.0,0,0,0,,3,2,5.0,1,1,0,1,4,4,2.4,3,5.0,2.0,0.4,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,4.0,89,4.684210526,2.4,91.1,4.794736842,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-12),L (-12)
73,64.0,2023/3/24,27-150,PHO,SAC,0,24.633333333333333,8,11,0.727,0.0,0.0,,1,1,1,3,3,6.0,3,0,0,0,3,17,16.4,-3,11.0,8.0,0.727272727,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,14.0,68,3.578947368,16.0,61.4,3.231578947,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+3),W (+3)
74,65.0,2023/3/25,27-151,PHO,PHI,0,13.866666666666667,1,2,0.5,0.0,0.0,,0,1,0,1,1,2.0,1,0,1,1,2,2,1.2,16,2.0,1.0,0.5,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,2.0,87,4.578947368,1.2,91.4,4.810526316,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-4),L (-4)
75,,2023/3/27,27-153,PHO,UTA,Did Not Play,0.0,0,0,Did Not Play,,,Did Not Play,Did Not Play,0,Did Not Play,0,0,,0,0,0,0,0,0,Did Not Play,Did Not Play,,,,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,,118,6.210526316,0.0,115.1,6.057894737,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-11),L (-11)
76,,2023/3/29,27-155,PHO,MIN,Did Not Play,0.0,0,0,Did Not Play,,,Did Not Play,Did Not Play,0,Did Not Play,0,0,,0,0,0,0,0,0,Did Not Play,Did Not Play,,,,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,,79,4.157894737,0.0,103.5,5.447368421,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,L (-8),L (-8)
77,,2023/3/31,27-157,PHO,DEN,Did Not Play,0.0,0,0,Did Not Play,,,Did Not Play,Did Not Play,0,Did Not Play,0,0,,0,0,0,0,0,0,Did Not Play,Did Not Play,,,,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,,75,3.947368421,0.0,56.6,2.978947368,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+20),W (+20)
78,,2023/4/2,27-159,PHO,OKC,Did Not Play,0.0,0,0,Did Not Play,,,Did Not Play,Did Not Play,0,Did Not Play,0,0,,0,0,0,0,0,0,Did Not Play,Did Not Play,,,,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,,79,4.157894737,0.0,94.2,4.957894737,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+14),W (+14)
79,66.0,2023/4/4,27-161,PHO,SAS,0,2.9333333333333336,0,0,,0.0,0.0,,0,0,,0,1,1.0,1,0,0,0,0,0,1,2,0.0,0.0,,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,2.0,89,4.684210526,1.0,104.4,5.494736842,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+7),W (+7)
80,67.0,2023/4/6,27-163,PHO,DEN,0,5.15,1,1,1,0.0,0.0,,0,0,,1,0,1.0,1,0,0,0,0,2,3.1,1,1.0,1.0,1.0,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,3.0,62,3.263157895,3.1,69.7,3.668421053,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+7),W (+7)
81,68.0,2023/4/7,27-164,PHO,LAL,0,29.53333333333333,8,13,0.615,0.0,1.0,0,1,3,0.333,2,8,10.0,2,0,0,2,2,17,12.7,-13,12.0,8.0,0.666666667,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,11.0,41,2.157894737,12.3,51.4,2.705263158,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+10),W (+10)
82,69.0,2023/4/9,27-166,PHO,LAC,1,21.33333333333333,7,13,0.538,1.0,1.0,1,0,0,,4,4,8.0,2,0,0,1,2,15,12.3,7,12.0,6.0,0.5,48,15,40,50,64,33,54,45,25,51,62,34,47,66,61,42,48,59,74,57,67,53,31,60,18,72,40,83,79,0.786885246,0.357142857,0.833333333,0.847457627,0.864864865,0.578947368,0.805970149,0.849056604,0.806451613,0.85,0,0.861111111,0.85,0.56626506,0.835443038,4,13,6,17,17,43,67,47,25,42,63,0.085106383,0.30952381,0.139534884,0,0.68,0.26984127,19,11.0,32,1.684210526,12.3,32.0,1.684210526,16.4,2.7,-1.1,-0.7,-0.4,0.048932289,0.595,0.249,0.312,0.2,1.5,W (+21),W (+21)
