Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Jae Crowder,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Mikal Bridges,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Johnson,Cameron Payne,Chris Paul,Damion Lee,Deandre Ayton,Devin Booker,Duane Washington Jr.,Ish Wainright,Jae Crowder,Jock Landale,Josh Okogie,Landry Shamet,Mikal Bridges,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Duane Washington Jr.,co_inf with Ish Wainright,co_inf with Jae Crowder,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Mikal Bridges,co_inf with Torrey Craig
78,76,53,2023/3/23,28-349,OKC,@,LAC,L (-22),0,3.25,0.0,0.0,,0.0,0.0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-3,0.0,0.0,,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
79,77,,2023/3/24,28-350,OKC,@,LAL,L (-5),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
80,78,,2023/3/26,28-352,OKC,@,POR,W (+6),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
81,79,54,2023/3/28,28-354,OKC,,CHO,L (-3),0,3.0833333333333335,0.0,1.0,0,0.0,0.0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-10,1.0,0.0,0.0,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
82,80,,2023/3/29,28-355,OKC,,DET,W (+1),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
83,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
84,81,,2023/3/31,28-357,OKC,@,IND,L (-4),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
85,82,55,2023/4/2,28-359,OKC,,PHO,L (-10),0,14.15,2.0,3.0,0.667,2.0,3.0,0.667,2,2,1,2,0,2,1,0,0,1,2,8,7,-4,0.0,0.0,,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
86,83,56,2023/4/4,28-361,OKC,@,GSW,L (-11),0,19.35,1.0,3.0,0.333,1.0,2.0,0.5,2,4,0.5,0,4,4,0,1,0,0,1,5,4.3,-1,1.0,0.0,0.0,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
87,84,57,2023/4/6,28-363,OKC,@,UTA,W (+16),0,23.25,5.0,10.0,0.5,2.0,4.0,0.5,2,2,1,3,7,10,1,1,2,0,1,14,15.9,20,6.0,3.0,0.5,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
88,85,,2023/4/9,29-001,OKC,,MEM,W (+15),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,12,14,24,37,31,14,18,26,0,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443
