Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Gordon,Shared Games with Bones Hyland,Shared Games with Bruce Brown,Shared Games with Christian Braun,Shared Games with Davon Reed,Shared Games with Ish Smith,Shared Games with Jack White,Shared Games with Jamal Murray,Shared Games with Jeff Green,Shared Games with Kentavious Caldwell-Pope,Shared Games with Michael Porter Jr.,Shared Games with Nikola Jokić,Shared Games with Peyton Watson,Shared Games with Vlatko Čančar,Shared Games with Zeke Nnaji,Aaron Gordon,Bones Hyland,Bruce Brown,Christian Braun,Collin Gillespie,Davon Reed,Ish Smith,Jack White,Jamal Murray,Jeff Green,Kentavious Caldwell-Pope,Michael Porter Jr.,Nikola Jokić,Peyton Watson,Vlatko Čančar,Zeke Nnaji,co_inf with Aaron Gordon,co_inf with Bones Hyland,co_inf with Bruce Brown,co_inf with Christian Braun,co_inf with Collin Gillespie,co_inf with Davon Reed,co_inf with Ish Smith,co_inf with Jack White,co_inf with Jamal Murray,co_inf with Jeff Green,co_inf with Kentavious Caldwell-Pope,co_inf with Michael Porter Jr.,co_inf with Nikola Jokić,co_inf with Peyton Watson,co_inf with Vlatko Čančar,co_inf with Zeke Nnaji,Shared Games with Reggie Jackson,Shared Games with Thomas Bryant,Donovan Williams,Reggie Jackson,Thomas Bryant,co_inf with Reggie Jackson,co_inf with Donovan Williams,co_inf with Thomas Bryant,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
60,59,,2023-02-15,34-209,DEN,,DAL,W (+9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,92.0,5.411764705882353,0.0,97.7,5.747058823529412
61,60,,2023-02-23,34-217,DEN,@,CLE,W (+6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,84.0,4.941176470588236,0.0,92.29999999999998,5.429411764705882
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,0.0,0.0,0.0,0.0,0.0
63,61,,2023-02-25,34-219,DEN,@,MEM,L (-18),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,43.0,2.5294117647058822,0.0,53.20000000000001,3.129411764705883
64,62,,2023-02-26,34-220,DEN,,LAC,W (+10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,96.0,5.647058823529412,0.0,108.29999999999998,6.370588235294116
65,63,,2023-02-28,34-222,DEN,@,HOU,W (+21),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,102.0,6.0,0.0,115.7,6.805882352941176
66,64,35,2023-03-03,34-225,DEN,,MEM,W (+16),0,1:46,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,+1,1.0,1.0,1.0,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,2.0,92.0,5.411764705882353,2.0,103.60000000000002,6.094117647058825
67,65,,2023-03-06,34-228,DEN,,TOR,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,77.0,4.529411764705882,0.0,100.10000000000002,5.888235294117648
68,66,,2023-03-08,34-230,DEN,,CHI,L (-21),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,50.0,2.9411764705882355,0.0,56.00000000000001,3.294117647058824
69,67,,2023-03-10,34-232,DEN,@,SAS,L (-8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,84.0,4.941176470588236,0.0,103.09999999999998,6.06470588235294
70,68,,2023-03-12,34-234,DEN,,BRK,L (-2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,73.0,4.294117647058823,0.0,88.60000000000001,5.211764705882353
71,69,,2023-03-14,34-236,DEN,@,TOR,L (-15),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,73.0,4.294117647058823,0.0,92.29999999999998,5.429411764705882
72,70,,2023-03-16,34-238,DEN,@,DET,W (+19),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,90.0,5.294117647058823,0.0,106.79999999999998,6.28235294117647
73,71,,2023-03-18,34-240,DEN,@,NYK,L (-6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,65.0,3.823529411764706,0.0,76.39999999999999,4.494117647058823
74,72,,2023-03-19,34-241,DEN,@,BRK,W (+6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,78.0,4.588235294117647,0.0,85.4,5.023529411764706
75,73,,2023-03-22,34-244,DEN,@,WAS,W (+14),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,80.0,4.705882352941177,0.0,93.1,5.476470588235294
76,74,,2023-03-25,34-247,DEN,,MIL,W (+23),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,87.0,5.117647058823529,0.0,101.3,5.958823529411765
77,75,,2023-03-27,34-249,DEN,,PHI,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,87.0,5.117647058823529,0.0,98.4,5.788235294117648
78,76,,2023-03-30,34-252,DEN,,NOP,L (-19),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,35.0,2.0588235294117645,0.0,52.49999999999999,3.0882352941176467
79,77,36,2023-03-31,34-253,DEN,@,PHO,L (-7),1,21:22,2.0,5.0,.400,0.0,0.0,,1,3.0,.333,2.0,10.0,12.0,0.0,3.0,1.0,1.0,2.0,5.0,7.8,,5.0,2.0,0.4,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,12.0,38.0,2.235294117647059,7.399999999999999,50.99999999999999,2.9999999999999996
80,78,,2023-04-02,34-255,DEN,,GSW,W (+2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,71.0,4.176470588235294,0.0,87.30000000000001,5.135294117647059
81,79,37,2023-04-04,34-257,DEN,@,HOU,L (-21),0,8:20,3.0,4.0,.750,0.0,0.0,,1,2.0,.500,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,7.0,6.1,-2,4.0,3.0,0.75,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,3.0,66.0,3.882352941176471,5.699999999999999,74.4,4.376470588235295
82,80,38,2023-04-06,34-259,DEN,@,PHO,L (-4),1,30:03,6.0,6.0,1.000,0.0,0.0,,0,0.0,,3.0,8.0,11.0,1.0,0.0,0.0,1.0,1.0,12.0,14.0,-7,6.0,6.0,1.0,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,17.0,42.0,2.4705882352941178,13.999999999999998,58.19999999999999,3.4235294117647053
83,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,0.0,0.0,0.0,0.0,0.0
84,81,,2023-04-08,34-261,DEN,@,UTA,L (-4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,94.0,5.529411764705882,0.0,101.79999999999998,5.988235294117646
85,82,39,2023-04-09,34-262,DEN,,SAC,W (+14),1,26:47,2.0,3.0,.667,0.0,0.0,,2,2.0,1.000,3.0,5.0,8.0,2.0,1.0,0.0,3.0,3.0,6.0,6.5,+2,3.0,2.0,0.6666666666666666,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,9.0,49.0,2.8823529411764706,5.699999999999999,69.19999999999999,4.070588235294117
