,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
59,58,26,2022-02-17,29-123,WAS,@,BRK,W (+14),0,18:41,4,7,.571,2,2,1.000,2,3,.667,1,1,2,3,1,2,2,5,12,9.8,+7
60,59,27,2022-02-25,29-131,WAS,,SAS,L (-4),0,8:11,1,3,.333,0,1,.000,2,3,.667,2,0,2,0,0,0,0,0,4,3.3,-5
61,60,,2022-02-26,29-132,WAS,@,CLE,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
63,61,28,2022-03-01,29-135,WAS,,DET,W (+3),0,4:49,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-6
64,62,,2022-03-04,29-138,WAS,,ATL,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
65,63,29,2022-03-06,29-140,WAS,,IND,W (+10),0,10:09,2,2,1.000,2,2,1.000,0,0,,0,2,2,1,0,0,0,2,6,5.9,+9
66,64,,2022-03-09,29-143,WAS,@,LAC,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
67,65,30,2022-03-11,29-145,WAS,@,LAL,L (-13),0,1:51,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
68,66,31,2022-03-12,29-146,WAS,@,POR,L (-9),0,11:36,2,4,.500,0,1,.000,2,2,1.000,1,1,2,1,0,0,0,1,6,5.3,+3
69,67,32,2022-03-14,29-148,WAS,@,GSW,L (-14),0,1:30,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-1
70,68,33,2022-03-16,29-150,WAS,,DEN,L (-18),0,3:10,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,1.0,+1
71,69,,2022-03-18,29-152,WAS,@,NYK,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
72,70,,2022-03-19,29-153,WAS,,LAL,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
73,71,34,2022-03-21,29-155,WAS,@,HOU,L (-18),0,8:14,1,2,.500,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,4,3.0,+3
74,72,35,2022-03-24,29-158,WAS,@,MIL,L (-12),0,14:05,4,4,1.000,1,1,1.000,0,0,,1,0,1,1,0,0,0,1,9,8.8,+21
75,73,36,2022-03-25,29-159,WAS,@,DET,W (+3),0,23:17,2,3,.667,0,1,.000,0,0,,0,5,5,1,0,1,1,2,4,3.8,+9
76,74,37,2022-03-27,29-161,WAS,,GSW,W (+8),0,20:51,3,3,1.000,1,1,1.000,2,2,1.000,1,7,8,3,0,2,0,1,9,14.0,+9
77,75,38,2022-03-29,29-163,WAS,,CHI,L (-13),0,17:20,0,1,.000,0,1,.000,2,2,1.000,1,1,2,0,0,0,0,2,2,1.5,-9
78,76,39,2022-03-30,29-164,WAS,,ORL,W (+17),0,19:08,3,6,.500,0,0,,1,2,.500,3,0,3,0,0,0,0,2,7,4.9,-1
79,77,40,2022-04-01,29-166,WAS,,DAL,W (+32),0,19:19,3,4,.750,1,2,.500,3,3,1.000,0,5,5,1,0,1,2,1,10,8.9,+21
80,78,41,2022-04-03,29-168,WAS,@,BOS,L (-42),0,25:29,1,8,.125,1,3,.333,6,6,1.000,2,0,2,1,0,0,0,3,9,4.7,-27
81,79,,2022-04-05,29-170,WAS,@,MIN,W (+18),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
82,80,42,2022-04-06,29-171,WAS,@,ATL,L (-15),0,13:11,2,3,.667,0,0,,0,0,,0,1,1,0,0,0,0,1,4,2.6,+5
83,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
84,81,43,2022-04-08,29-173,WAS,,NYK,L (-22),0,15:57,2,2,1.000,0,0,,0,0,,0,2,2,2,1,0,3,2,4,2.6,-8
85,82,44,2022-04-10,29-175,WAS,@,CHO,L (-16),0,19:12,3,10,.300,1,2,.500,2,2,1.000,4,4,8,2,0,0,1,1,9,7.2,-16
