Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Collin Sexton,Shared Games with Frank Jackson,Shared Games with Jarrell Brantley,Shared Games with Johnny Juzang,Shared Games with Jordan Clarkson,Shared Games with Kelly Olynyk,Shared Games with Kris Dunn,Shared Games with Lauri Markkanen,Shared Games with Leandro Bolmaro,Shared Games with Luka Šamanić,Shared Games with Malik Beasley,Shared Games with Micah Potter,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Shared Games with Ochai Agbaji,Shared Games with Rudy Gay,Shared Games with Simone Fontecchio,Shared Games with Talen Horton-Tucker,Shared Games with Udoka Azubuike,Shared Games with Walker Kessler,Collin Sexton,Frank Jackson,Jarrell Brantley,Johnny Juzang,Jordan Clarkson,Kelly Olynyk,Kris Dunn,Lauri Markkanen,Leandro Bolmaro,Luka Šamanić,Malik Beasley,Micah Potter,Mike Conley,Nickeil Alexander-Walker,Ochai Agbaji,Rudy Gay,Simone Fontecchio,Talen Horton-Tucker,Udoka Azubuike,Walker Kessler,co_inf with Collin Sexton,co_inf with Frank Jackson,co_inf with Jarrell Brantley,co_inf with Johnny Juzang,co_inf with Jordan Clarkson,co_inf with Kelly Olynyk,co_inf with Kris Dunn,co_inf with Lauri Markkanen,co_inf with Leandro Bolmaro,co_inf with Luka Šamanić,co_inf with Malik Beasley,co_inf with Micah Potter,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Ochai Agbaji,co_inf with Rudy Gay,co_inf with Simone Fontecchio,co_inf with Talen Horton-Tucker,co_inf with Udoka Azubuike,co_inf with Walker Kessler
66,64,59,2023-03-01,23-332,LAL,@,OKC,W (+6),1,22.833333333333332,2.0,5.0,.400,0.0,1.0,.000,3,4,.750,0,4,4,1,1,1,1,1,7,6.1,-3,4.0,2.0,0.5,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
67,65,60,2023-03-03,23-334,LAL,,MIN,L (-8),1,31.616666666666667,3.0,5.0,.600,1.0,3.0,.333,1,2,.500,2,3,5,1,2,0,2,3,8,7.1,-4,2.0,2.0,1.0,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
68,66,61,2023-03-05,23-336,LAL,,GSW,W (+8),1,23.65,5.0,11.0,.455,0.0,2.0,.000,0,0,,2,11,13,4,1,0,1,1,10,11.4,+25,9.0,5.0,0.5555555555555556,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
69,67,62,2023-03-07,23-338,LAL,,MEM,W (+9),1,23.883333333333333,2.0,5.0,.400,0.0,1.0,.000,1,2,.500,0,8,8,2,1,0,0,4,5,5.1,-14,4.0,2.0,0.5,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
70,68,63,2023-03-10,23-341,LAL,,TOR,W (+10),1,30.35,5.0,7.0,.714,2.0,4.0,.500,4,4,1.000,1,3,4,1,2,0,3,2,16,13.6,-10,3.0,3.0,1.0,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
71,69,64,2023-03-12,23-343,LAL,,NYK,L (-4),1,24.083333333333332,1.0,3.0,.333,0.0,1.0,.000,0,0,,1,4,5,2,3,0,1,2,2,4.8,-18,2.0,1.0,0.5,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
72,70,65,2023-03-14,23-345,LAL,@,NOP,W (+15),1,28.0,1.0,4.0,.250,0.0,2.0,.000,2,2,1.000,1,7,8,3,1,0,1,5,4,4.5,+22,2.0,1.0,0.5,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
73,71,66,2023-03-15,23-346,LAL,@,HOU,L (-4),1,34.63333333333333,6.0,13.0,.462,0.0,2.0,.000,1,2,.500,3,7,10,5,2,0,0,4,13,14.0,-4,11.0,6.0,0.5454545454545454,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
74,72,67,2023-03-17,23-348,LAL,,DAL,L (-1),1,20.033333333333335,3.0,5.0,.600,0.0,1.0,.000,1,2,.500,2,2,4,0,1,0,2,1,7,4.9,-14,4.0,3.0,0.75,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
75,73,68,2023-03-19,23-350,LAL,,ORL,W (+6),1,23.016666666666666,1.0,1.0,1.000,0.0,0.0,,0,0,,2,8,10,2,0,1,4,2,2,2.8,-12,1.0,1.0,1.0,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
76,74,69,2023-03-22,23-353,LAL,,PHO,W (+11),1,26.183333333333334,5.0,5.0,1.000,0.0,0.0,,3,3,1.000,2,2,4,0,1,0,1,5,13,11.5,+8,5.0,5.0,1.0,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
77,75,70,2023-03-24,23-355,LAL,,OKC,W (+5),1,27.916666666666668,0.0,6.0,.000,0.0,1.0,.000,1,2,.500,4,6,10,0,0,1,0,3,1,0.5,-7,5.0,0.0,0.0,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
78,76,71,2023-03-26,23-357,LAL,,CHI,L (-10),1,21.4,2.0,5.0,.400,0.0,1.0,.000,0,0,,2,2,4,0,0,0,1,0,4,2.3,-27,4.0,2.0,0.5,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
79,77,72,2023-03-29,23-360,LAL,@,CHI,W (+11),1,24.733333333333334,3.0,5.0,.600,2.0,3.0,.667,0,0,,1,6,7,2,1,0,0,3,8,9.4,+11,2.0,1.0,0.5,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
80,78,73,2023-03-31,23-362,LAL,@,MIN,W (+12),1,28.266666666666666,5.0,8.0,.625,2.0,2.0,1.000,0,0,,2,3,5,2,2,0,1,0,12,13.1,,6.0,3.0,0.5,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
81,79,74,2023-04-02,23-364,LAL,@,HOU,W (+25),1,15.416666666666666,1.0,2.0,.500,0.0,0.0,,0,0,,0,4,4,1,1,0,0,0,2,3.9,+4,2.0,1.0,0.5,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
82,80,75,2023-04-04,24-001,LAL,@,UTA,W (+2),1,18.333333333333332,2.0,4.0,.500,2.0,4.0,.500,0,0,,1,1,2,1,1,1,0,4,6,5.8,+4,0.0,0.0,,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
83,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
84,81,76,2023-04-05,24-002,LAL,@,LAC,L (-7),1,24.566666666666666,3.0,5.0,.600,0.0,1.0,.000,2,4,.500,3,3,6,1,1,0,2,2,8,6.8,+12,4.0,3.0,0.75,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
85,82,77,2023-04-07,24-004,LAL,,PHO,W (+14),1,16.75,0.0,2.0,.000,0.0,0.0,,0,0,,0,4,4,0,0,0,0,1,0,-0.6,-7,2.0,0.0,0.0,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
86,83,78,2023-04-09,24-006,LAL,,UTA,W (+11),1,19.266666666666666,5.0,7.0,.714,0.0,1.0,.000,2,2,1.000,2,2,4,1,0,0,1,2,12,10.0,+6,6.0,5.0,0.8333333333333334,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
