Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Andre Iguodala,Shared Games with Andrew Wiggins,Shared Games with Anthony Lamb,Shared Games with Donte DiVincenzo,Shared Games with Draymond Green,Shared Games with James Wiseman,Shared Games with JaMychal Green,Shared Games with Jonathan Kuminga,Shared Games with Jordan Poole,Shared Games with Kevon Looney,Shared Games with Klay Thompson,Shared Games with Moses Moody,Shared Games with Patrick Baldwin Jr.,Shared Games with Stephen Curry,Shared Games with Ty Jerome,Andre Iguodala,Andrew Wiggins,Anthony Lamb,Donte DiVincenzo,Draymond Green,James Wiseman,JaMychal Green,Jonathan Kuminga,Jordan Poole,Kevon Looney,Klay Thompson,Lester Quinones,Moses Moody,Patrick Baldwin Jr.,Stephen Curry,Ty Jerome,co_inf with Andre Iguodala,co_inf with Andrew Wiggins,co_inf with Anthony Lamb,co_inf with Donte DiVincenzo,co_inf with Draymond Green,co_inf with James Wiseman,co_inf with JaMychal Green,co_inf with Jonathan Kuminga,co_inf with Jordan Poole,co_inf with Kevon Looney,co_inf with Klay Thompson,co_inf with Lester Quinones,co_inf with Moses Moody,co_inf with Patrick Baldwin Jr.,co_inf with Stephen Curry,co_inf with Ty Jerome,Gary Payton II,Jalen Johnson,co_inf with Gary Payton II,co_inf with Jalen Johnson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
64,62,,2023-02-28,20-240,GSW,,POR,W (+18),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,85.0,5.666666666666667,0.0,95.7,6.38
65,63,,2023-03-02,20-242,GSW,,LAC,W (+24),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,95.0,6.333333333333333,0.0,90.4,6.026666666666667
66,64,,2023-03-03,20-243,GSW,,NOP,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,82.0,5.466666666666667,0.0,80.50000000000001,5.366666666666668
67,65,,2023-03-05,20-245,GSW,@,LAL,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,67.0,4.466666666666667,0.0,68.60000000000001,4.573333333333334
68,66,,2023-03-07,20-247,GSW,@,OKC,L (-9),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,90.0,6.0,0.0,97.10000000000002,6.4733333333333345
69,67,,2023-03-09,20-249,GSW,@,MEM,L (-21),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,63.0,4.2,0.0,75.0,5.0
70,68,,2023-03-11,20-251,GSW,,MIL,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,107.0,7.133333333333334,0.0,104.20000000000002,6.946666666666668
71,69,,2023-03-13,20-253,GSW,,PHO,W (+11),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,84.0,5.6,0.0,98.6,6.573333333333333
72,70,,2023-03-15,20-255,GSW,@,LAC,L (-8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,77.0,5.133333333333334,0.0,90.9,6.0600000000000005
73,71,,2023-03-17,20-257,GSW,@,ATL,L (-8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,81.0,5.4,0.0,90.7,6.046666666666667
74,72,,2023-03-18,20-258,GSW,@,MEM,L (-14),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,61.0,4.066666666666666,0.0,82.0,5.466666666666667
75,73,,2023-03-20,20-260,GSW,@,HOU,W (+13),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,93.0,6.2,0.0,104.5,6.966666666666667
76,74,,2023-03-22,20-262,GSW,@,DAL,W (+2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,95.0,6.333333333333333,0.0,107.0,7.133333333333334
77,75,,2023-03-24,20-264,GSW,,PHI,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,76.0,5.066666666666666,0.0,86.80000000000001,5.786666666666667
78,76,,2023-03-26,20-266,GSW,,MIN,L (-3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,54.0,3.6,0.0,54.2,3.6133333333333337
79,77,,2023-03-28,20-268,GSW,,NOP,W (+11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,93.0,6.2,0.0,98.4,6.5600000000000005
80,78,,2023-03-31,20-271,GSW,,SAS,W (+15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,106.0,7.066666666666666,0.0,98.1,6.54
81,79,,2023-04-02,20-273,GSW,@,DEN,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,79.0,5.266666666666667,0.0,76.3,5.086666666666667
82,80,,2023-04-04,20-275,GSW,,OKC,W (+11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,101.0,6.733333333333333,0.0,101.5,6.766666666666667
83,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,0.0,0.0,0.0,0.0,0.0
84,81,,2023-04-07,20-278,GSW,@,SAC,W (+22),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,98.0,6.533333333333333,0.0,87.50000000000001,5.833333333333334
85,82,,2023-04-09,20-280,GSW,@,POR,W (+56),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,162.0,10.8,0.0,136.5,9.1
