Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bryce McGowens,Shared Games with Cody Martin,Shared Games with Gordon Hayward,Shared Games with Jalen McDaniels,Shared Games with James Bouknight,Shared Games with JT Thor,Shared Games with Kai Jones,Shared Games with Kelly Oubre Jr.,Shared Games with Kobi Simmons,Shared Games with LaMelo Ball,Shared Games with Mark Williams,Shared Games with Mason Plumlee,Shared Games with Nick Richards,Shared Games with P.J. Washington,Shared Games with Terry Rozier,Shared Games with Théo Maledon,Bryce McGowens,Cody Martin,Gordon Hayward,Jalen McDaniels,James Bouknight,JT Thor,Kai Jones,Kelly Oubre Jr.,Kobi Simmons,LaMelo Ball,Mark Williams,Mason Plumlee,Nick Richards,P.J. Washington,Terry Rozier,Théo Maledon,Xavier Sneed,co_inf with Bryce McGowens,co_inf with Cody Martin,co_inf with Gordon Hayward,co_inf with Jalen McDaniels,co_inf with James Bouknight,co_inf with JT Thor,co_inf with Kai Jones,co_inf with Kelly Oubre Jr.,co_inf with Kobi Simmons,co_inf with LaMelo Ball,co_inf with Mark Williams,co_inf with Mason Plumlee,co_inf with Nick Richards,co_inf with P.J. Washington,co_inf with Terry Rozier,co_inf with Théo Maledon,co_inf with Xavier Sneed,Shared Games with Reggie Jackson,Shared Games with Svi Mykhailiuk,De'Andre Hunter,Svi Mykhailiuk,co_inf with De'Andre Hunter,co_inf with Svi Mykhailiuk,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,,0.0,0.0,0.0,0.0,0.0
63,61,39,2023-02-24,25-091,CHO,@,MIN,W (+8),0,25:42,3.0,8.0,.375,1.0,3.0,.333,0,0.0,,0.0,2.0,2.0,4.0,2.0,0.0,1.0,0.0,7.0,7.0,+1,5.0,2.0,0.4,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,6.0,82.0,4.555555555555555,6.999999999999998,95.0,5.277777777777778
64,62,40,2023-02-25,25-092,CHO,,MIA,W (+5),0,28:16,5.0,7.0,.714,1.0,2.0,.500,4,4.0,1.000,0.0,2.0,2.0,2.0,3.0,0.0,2.0,4.0,15.0,13.5,+12,5.0,4.0,0.8,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,9.0,57.0,3.1666666666666665,11.900000000000002,69.1,3.8388888888888886
65,63,41,2023-02-27,25-094,CHO,,DET,W (+11),0,32:10,1.0,8.0,.125,0.0,1.0,.000,5,6.0,.833,1.0,2.0,3.0,7.0,1.0,0.0,1.0,2.0,7.0,6.8,+9,7.0,1.0,0.1428571428571428,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,3.0,78.0,4.333333333333333,4.799999999999998,89.1,4.949999999999999
66,64,42,2023-03-01,25-096,CHO,,PHO,L (-14),0,26:15,2.0,7.0,.286,0.0,2.0,.000,4,6.0,.667,0.0,5.0,5.0,6.0,1.0,2.0,0.0,2.0,8.0,10.4,-11,5.0,2.0,0.4,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,9.0,39.0,2.1666666666666665,8.799999999999999,56.20000000000001,3.1222222222222227
67,65,43,2023-03-03,25-098,CHO,,ORL,L (-11),0,21:05,3.0,8.0,.375,0.0,1.0,.000,4,6.0,.667,1.0,1.0,2.0,6.0,2.0,0.0,0.0,1.0,10.0,11.6,-3,7.0,3.0,0.4285714285714285,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,6.0,55.0,3.055555555555556,9.999999999999998,70.00000000000001,3.8888888888888897
68,66,44,2023-03-05,25-100,CHO,@,BRK,L (-16),0,27:02,6.0,14.0,.429,1.0,6.0,.167,2,3.0,.667,2.0,4.0,6.0,6.0,1.0,1.0,0.0,3.0,15.0,14.5,-13,8.0,5.0,0.625,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,12.0,32.0,1.7777777777777777,13.699999999999996,39.4,2.1888888888888887
69,67,45,2023-03-07,25-102,CHO,@,NYK,W (+7),0,23:41,1.0,6.0,.167,1.0,3.0,.333,0,0.0,,0.0,5.0,5.0,6.0,0.0,0.0,2.0,1.0,3.0,2.5,-2,3.0,0.0,0.0,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,6.0,72.0,4.0,2.5,90.8,5.044444444444444
70,68,46,2023-03-09,25-104,CHO,@,DET,W (+10),0,23:13,7.0,10.0,.700,0.0,1.0,.000,0,2.0,.000,0.0,0.0,0.0,3.0,3.0,0.0,2.0,3.0,14.0,10.9,+11,9.0,7.0,0.7777777777777778,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,6.0,74.0,4.111111111111111,10.9,91.2,5.066666666666666
71,69,47,2023-03-11,25-106,CHO,,UTA,L (-8),0,24:28,4.0,11.0,.364,2.0,3.0,.667,3,4.0,.750,1.0,2.0,3.0,5.0,0.0,2.0,1.0,3.0,13.0,10.5,+3,8.0,2.0,0.25,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,7.0,70.0,3.888888888888889,9.299999999999995,84.79999999999998,4.71111111111111
72,70,48,2023-03-12,25-107,CHO,,CLE,L (-6),1,37:17,5.0,14.0,.357,0.0,1.0,.000,4,4.0,1.000,1.0,7.0,8.0,7.0,3.0,0.0,2.0,4.0,14.0,13.3,+1,13.0,5.0,0.3846153846153846,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,12.0,58.0,3.2222222222222223,11.7,69.3,3.8499999999999996
73,71,49,2023-03-14,25-109,CHO,,CLE,L (-16),0,31:43,3.0,6.0,.500,0.0,0.0,,0,0.0,,1.0,3.0,4.0,8.0,2.0,2.0,2.0,2.0,6.0,10.8,-5,6.0,3.0,0.5,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,14.0,62.0,3.4444444444444446,10.799999999999995,74.10000000000001,4.116666666666667
74,72,50,2023-03-17,25-112,CHO,,PHI,L (-39),0,31:57,2.0,11.0,.182,0.0,4.0,.000,1,2.0,.500,0.0,5.0,5.0,8.0,0.0,1.0,2.0,2.0,5.0,2.7,-22,7.0,2.0,0.2857142857142857,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,4.0,32.0,1.7777777777777777,2.299999999999999,51.3,2.8499999999999996
75,73,51,2023-03-20,25-115,CHO,,IND,W (+6),0,25:58,1.0,10.0,.100,0.0,2.0,.000,0,0.0,,2.0,3.0,5.0,6.0,2.0,0.0,1.0,2.0,2.0,2.1,-20,8.0,1.0,0.125,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,4.0,66.0,3.6666666666666665,2.0999999999999988,92.3,5.127777777777777
76,74,52,2023-03-23,25-118,CHO,@,NOP,L (-19),0,21:54,4.0,8.0,.500,0.0,2.0,.000,0,0.0,,1.0,1.0,2.0,4.0,1.0,0.0,3.0,1.0,8.0,5.4,-7,6.0,4.0,0.6666666666666666,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,4.0,50.0,2.7777777777777777,5.399999999999999,58.1,3.227777777777778
77,75,53,2023-03-24,25-119,CHO,@,DAL,W (+8),1,29:50,4.0,9.0,.444,2.0,4.0,.500,3,4.0,.750,0.0,5.0,5.0,9.0,1.0,0.0,1.0,3.0,13.0,14.5,+12,5.0,2.0,0.4,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,14.0,70.0,3.888888888888889,13.3,89.79999999999998,4.988888888888888
78,76,54,2023-03-26,25-121,CHO,,DAL,W (+6),1,28:11,5.0,11.0,.455,1.0,4.0,.250,3,4.0,.750,1.0,4.0,5.0,6.0,1.0,0.0,3.0,4.0,14.0,10.4,+4,7.0,4.0,0.5714285714285714,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,8.0,69.0,3.8333333333333335,9.2,73.29999999999998,4.072222222222221
79,77,,2023-03-28,25-123,CHO,@,OKC,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,,94.0,5.222222222222222,0.0,108.7,6.038888888888889
80,78,,2023-03-31,25-126,CHO,,CHI,L (-30),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,,53.0,2.9444444444444446,0.0,54.4,3.022222222222222
81,79,,2023-04-02,25-128,CHO,,TOR,L (-20),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,,54.0,3.0,0.0,68.70000000000002,3.8166666666666678
82,80,,2023-04-04,25-130,CHO,,TOR,L (-20),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,,62.0,3.4444444444444446,0.0,64.69999999999999,3.5944444444444437
83,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,,0.0,0.0,0.0,0.0,0.0
84,81,,2023-04-07,25-133,CHO,,HOU,L (-3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,,64.0,3.555555555555556,0.0,82.1,4.561111111111111
85,82,,2023-04-09,25-135,CHO,@,CLE,W (+11),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,,62.0,3.4444444444444446,0.0,80.1,4.449999999999999
