Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Blake Wesley,Shared Games with Charles Bassey,Shared Games with Devin Vassell,Shared Games with Dominick Barlow,Shared Games with Doug McDermott,Shared Games with Isaiah Roby,Shared Games with Jakob Poeltl,Shared Games with Jeremy Sochan,Shared Games with Josh Richardson,Shared Games with Keita Bates-Diop,Shared Games with Keldon Johnson,Shared Games with Malaki Branham,Shared Games with Romeo Langford,Shared Games with Stanley Johnson,Shared Games with Tre Jones,Shared Games with Zach Collins,Alize Johnson,Blake Wesley,Charles Bassey,Devin Vassell,Dominick Barlow,Doug McDermott,Isaiah Roby,Jakob Poeltl,Jeremy Sochan,Jordan Hall,Josh Richardson,Joshua Primo,Keita Bates-Diop,Keldon Johnson,Malaki Branham,Romeo Langford,Stanley Johnson,Tre Jones,Zach Collins,co_inf with Alize Johnson,co_inf with Blake Wesley,co_inf with Charles Bassey,co_inf with Devin Vassell,co_inf with Dominick Barlow,co_inf with Doug McDermott,co_inf with Isaiah Roby,co_inf with Jakob Poeltl,co_inf with Jeremy Sochan,co_inf with Jordan Hall,co_inf with Josh Richardson,co_inf with Joshua Primo,co_inf with Keita Bates-Diop,co_inf with Keldon Johnson,co_inf with Malaki Branham,co_inf with Romeo Langford,co_inf with Stanley Johnson,co_inf with Tre Jones,co_inf with Zach Collins,Shared Games with Devonte' Graham,Shared Games with Julian Champagnie,Shared Games with Sandro Mamukelashvili,Devonte' Graham,Julian Champagnie,Justin Jackson,Khem Birch,Sandro Mamukelashvili,co_inf with Devonte' Graham,co_inf with Julian Champagnie,co_inf with Justin Jackson,co_inf with Khem Birch,co_inf with Sandro Mamukelashvili,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
52,51,,2023-02-13,33-026,SAS,@,CLE,L (-8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,54.0,2.8421052631578947,0.0,71.8,3.7789473684210524
53,52,,2023-02-15,33-028,SAS,@,CHO,L (-10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,44.0,2.3157894736842106,0.0,50.3,2.6473684210526316
54,53,20,2023-02-23,33-036,SAS,@,DAL,L (-26),0,7:13,0.0,2.0,.000,0.0,2.0,.000,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.8,-1,0.0,0.0,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,0.0,38.0,2.0,-0.7999999999999999,52.4,2.7578947368421054
55,54,21,2023-02-25,33-038,SAS,@,UTA,L (-16),0,0:44,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0,0.0,0.0,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,1.0,26.0,1.368421052631579,0.3,35.4,1.8631578947368421
56,55,,2023-02-28,33-041,SAS,@,UTA,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,46.0,2.421052631578948,0.0,58.0,3.0526315789473686
57,56,,2023-03-02,33-043,SAS,,IND,W (+11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,49.0,2.5789473684210527,0.0,59.1,3.110526315789474
58,57,,2023-03-04,33-045,SAS,,HOU,L (-12),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,66.0,3.473684210526316,0.0,91.5,4.815789473684211
59,58,22,2023-03-05,33-046,SAS,@,HOU,L (-32),0,12:00,2.0,5.0,.400,0.0,3.0,.000,0,0.0,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.9,-11,2.0,2.0,1.0,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,2.0,65.0,3.421052631578948,1.9,78.8,4.147368421052631
60,59,,2023-03-10,33-051,SAS,,DEN,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,73.0,3.842105263157895,0.0,80.89999999999999,4.257894736842105
61,60,,2023-03-12,33-053,SAS,,OKC,L (-12),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,57.0,3.0,0.0,67.3,3.5421052631578944
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,0.0,0.0,0.0,0.0,0.0
63,61,,2023-03-14,33-055,SAS,,ORL,W (+18),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,57.0,3.0,0.0,75.8,3.9894736842105263
64,62,23,2023-03-15,33-056,SAS,,DAL,L (-9),0,15:39,1.0,5.0,.200,0.0,2.0,.000,0,0.0,,3.0,2.0,5.0,3.0,0.0,2.0,0.0,4.0,2.0,3.5,-2,3.0,1.0,0.3333333333333333,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,7.0,72.0,3.789473684210526,3.5,84.3,4.436842105263158
65,63,24,2023-03-17,33-058,SAS,,MEM,L (-6),0,6:47,0.0,3.0,.000,0.0,2.0,.000,0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,-2.2,-16,1.0,0.0,0.0,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,-1.0,64.0,3.3684210526315788,-2.2,76.5,4.026315789473684
66,64,,2023-03-19,33-060,SAS,,ATL,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,67.0,3.526315789473684,0.0,74.19999999999999,3.905263157894736
67,65,25,2023-03-21,33-062,SAS,@,NOP,L (-35),0,15:43,2.0,6.0,.333,0.0,2.0,.000,0,0.0,,1.0,3.0,4.0,1.0,0.0,0.0,0.0,4.0,4.0,1.3,-12,4.0,2.0,0.5,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,3.0,38.0,2.0,1.3000000000000012,61.49999999999999,3.2368421052631575
68,66,26,2023-03-22,33-063,SAS,@,MIL,L (-36),0,18:31,2.0,3.0,.667,2.0,3.0,.667,1,2.0,.500,1.0,5.0,6.0,4.0,0.0,1.0,4.0,3.0,7.0,5.8,-18,0.0,0.0,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,9.0,88.0,4.631578947368421,5.399999999999999,102.8,5.410526315789474
69,67,,2023-03-24,33-065,SAS,@,WAS,L (-12),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,40.0,2.1052631578947367,0.0,38.99999999999999,2.052631578947368
70,68,27,2023-03-26,33-067,SAS,@,BOS,L (-44),0,7:01,0.0,4.0,.000,0.0,3.0,.000,0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.1,-13,1.0,0.0,0.0,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,-1.0,110.0,5.789473684210527,-1.1,119.7,6.3
71,69,,2023-03-29,33-070,SAS,,UTA,L (-11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,75.0,3.947368421052632,0.0,95.2,5.010526315789474
72,70,28,2023-03-31,33-072,SAS,@,GSW,L (-15),0,17:23,5.0,7.0,.714,4.0,5.0,.800,0,0.0,,0.0,10.0,10.0,2.0,0.0,0.0,3.0,3.0,14.0,11.3,-1,2.0,1.0,0.5,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,16.0,88.0,4.631578947368421,11.3,111.1,5.847368421052631
73,71,,2023-04-02,33-074,SAS,@,SAC,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,87.0,4.578947368421052,0.0,104.5,5.5
74,72,29,2023-04-04,33-076,SAS,@,PHO,L (-21),0,21:08,2.0,6.0,.333,0.0,3.0,.000,0,0.0,,0.0,4.0,4.0,2.0,0.0,1.0,0.0,4.0,4.0,2.3,-30,3.0,2.0,0.6666666666666666,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,5.0,25.0,1.3157894736842106,2.3000000000000003,31.2,1.6421052631578947
75,73,,2023-04-06,33-078,SAS,,POR,W (+2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,,28.0,1.4736842105263157,0.0,46.70000000000001,2.4578947368421056
76,74,30,2023-04-08,33-080,SAS,,MIN,L (-20),0,19:43,3.0,8.0,.375,1.0,3.0,.333,1,1.0,1.000,2.0,6.0,8.0,4.0,0.0,1.0,2.0,5.0,8.0,6.3,-10,5.0,2.0,0.4,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,10.0,87.0,4.578947368421052,5.899999999999999,100.9,5.310526315789474
77,75,31,2023-04-09,33-081,SAS,@,DAL,W (+21),0,23:14,4.0,8.0,.500,2.0,6.0,.333,3,4.0,.750,1.0,9.0,10.0,4.0,0.0,1.0,3.0,2.0,13.0,11.7,+11,2.0,2.0,1.0,14,13,16,13,26,16,18,22,16,28,25,24,13,12,24,22,4.0,37.0,35.0,38.0,28.0,64.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3783783783783784,0.3714285714285714,0.4210526315789473,0.4642857142857143,0.40625,0.3809523809523809,0.25,0.3928571428571428,0.0,0.2461538461538461,0.0,0.417910447761194,0.3968253968253968,0.3636363636363636,0.3023255813953488,0.4,0.3529411764705882,0.3492063492063492,8,7,9,73.0,17.0,23.0,20.0,43.0,0.1095890410958904,0.4117647058823529,0.0,0.0,0.2093023255813953,19,13.0,59.0,3.1052631578947367,10.5,80.90000000000002,4.257894736842107
