Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Davis,Shared Games with Austin Reaves,Shared Games with Cole Swider,Shared Games with Dennis Schröder,Shared Games with Juan Toscano-Anderson,Shared Games with Kendrick Nunn,Shared Games with LeBron James,Shared Games with Lonnie Walker IV,Shared Games with Matt Ryan,Shared Games with Max Christie,Shared Games with Patrick Beverley,Shared Games with Russell Westbrook,Shared Games with Scotty Pippen Jr.,Shared Games with Sterling Brown,Shared Games with Thomas Bryant,Shared Games with Tristan Thompson,Shared Games with Troy Brown Jr.,Shared Games with Wenyen Gabriel,Anthony Davis,Austin Reaves,Cole Swider,Dennis Schröder,Juan Toscano-Anderson,Kendrick Nunn,LeBron James,Lonnie Walker IV,Matt Ryan,Max Christie,Patrick Beverley,Russell Westbrook,Scotty Pippen Jr.,Sterling Brown,Thomas Bryant,Tristan Thompson,Troy Brown Jr.,Wenyen Gabriel,co_inf with Anthony Davis,co_inf with Austin Reaves,co_inf with Cole Swider,co_inf with Dennis Schröder,co_inf with Juan Toscano-Anderson,co_inf with Kendrick Nunn,co_inf with LeBron James,co_inf with Lonnie Walker IV,co_inf with Matt Ryan,co_inf with Max Christie,co_inf with Patrick Beverley,co_inf with Russell Westbrook,co_inf with Scotty Pippen Jr.,co_inf with Sterling Brown,co_inf with Thomas Bryant,co_inf with Tristan Thompson,co_inf with Troy Brown Jr.,co_inf with Wenyen Gabriel
67,65,27,2023-03-07,27-250,UTA,@,DAL,L (-4),0,23.4,3.0,3.0,1.000,1.0,1.0,1.000,0,0,,1,5,6,1,0,0,0,3,7,7.8,-3,2.0,2.0,1.0,13,16,2,13,32,17,15,16,8,16,19,19,4,0,13,0,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588
68,66,28,2023-03-09,27-252,UTA,@,ORL,W (+7),0,14.266666666666667,3.0,3.0,1.000,1.0,1.0,1.000,0,0,,1,1,2,0,0,0,1,3,7,4.9,-9,2.0,2.0,1.0,13,16,2,13,32,17,15,16,8,16,19,19,4,0,13,0,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588
69,67,29,2023-03-11,27-254,UTA,@,CHO,W (+8),0,13.716666666666667,0.0,1.0,.000,0.0,0.0,,0,0,,1,1,2,1,0,0,1,4,0,-1.6,-9,1.0,0.0,0.0,13,16,2,13,32,17,15,16,8,16,19,19,4,0,13,0,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588
70,68,30,2023-03-13,27-256,UTA,@,MIA,L (-4),0,12.816666666666666,0.0,0.0,,0.0,0.0,,0,0,,1,1,2,0,0,0,0,2,0,0.2,+10,0.0,0.0,,13,16,2,13,32,17,15,16,8,16,19,19,4,0,13,0,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588
71,69,31,2023-03-18,27-261,UTA,,BOS,W (+1),0,8.566666666666666,1.0,1.0,1.000,1.0,1.0,1.000,0,0,,0,1,1,1,1,1,0,0,3,5.4,-10,0.0,0.0,,13,16,2,13,32,17,15,16,8,16,19,19,4,0,13,0,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588
72,70,,2023-03-20,27-263,UTA,,SAC,W (+8),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,13,16,2,13,32,17,15,16,8,16,19,19,4,0,13,0,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588
73,71,32,2023-03-22,27-265,UTA,,POR,L (-12),0,1.5333333333333332,0.0,0.0,,0.0,0.0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+3,0.0,0.0,,13,16,2,13,32,17,15,16,8,16,19,19,4,0,13,0,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588
74,72,33,2023-03-24,27-267,UTA,,MIL,L (-28),0,17.116666666666667,2.0,7.0,.286,1.0,3.0,.333,0,0,,6,0,6,0,1,0,1,0,5,5.1,+5,4.0,1.0,0.25,13,16,2,13,32,17,15,16,8,16,19,19,4,0,13,0,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588
75,73,34,2023-03-25,27-268,UTA,@,SAC,L (-8),0,7.383333333333334,0.0,0.0,,0.0,0.0,,0,0,,1,1,2,1,1,1,0,0,0,3.4,+4,0.0,0.0,,13,16,2,13,32,17,15,16,8,16,19,19,4,0,13,0,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588
76,74,35,2023-03-27,27-270,UTA,,PHO,L (-14),0,18.083333333333332,1.0,2.0,.500,1.0,2.0,.500,0,0,,2,3,5,0,0,0,2,3,3,1.1,-21,0.0,0.0,,13,16,2,13,32,17,15,16,8,16,19,19,4,0,13,0,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588
77,75,36,2023-03-29,27-272,UTA,@,SAS,W (+11),0,22.733333333333334,3.0,4.0,.750,1.0,1.0,1.000,0,0,,0,4,4,1,0,0,1,2,7,5.5,+3,3.0,2.0,0.6666666666666666,13,16,2,13,32,17,15,16,8,16,19,19,4,0,13,0,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588
78,76,37,2023-03-31,27-274,UTA,@,BOS,L (-8),0,14.15,1.0,1.0,1.000,1.0,1.0,1.000,0,0,,0,3,3,1,1,0,2,2,3,2.5,-5,0.0,0.0,,13,16,2,13,32,17,15,16,8,16,19,19,4,0,13,0,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588
79,77,,2023-04-02,27-276,UTA,@,BRK,L (-1),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,13,16,2,13,32,17,15,16,8,16,19,19,4,0,13,0,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588
80,78,38,2023-04-04,27-278,UTA,,LAL,L (-2),0,32.1,5.0,5.0,1.000,3.0,3.0,1.000,3,4,.750,1,7,8,1,0,0,1,3,16,15.4,+4,2.0,2.0,1.0,13,16,2,13,32,17,15,16,8,16,19,19,4,0,13,0,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588
81,79,39,2023-04-06,27-280,UTA,,OKC,L (-16),0,21.283333333333335,2.0,3.0,.667,0.0,0.0,,0,0,,0,2,2,0,1,1,2,3,4,1.8,-4,3.0,2.0,0.6666666666666666,13,16,2,13,32,17,15,16,8,16,19,19,4,0,13,0,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588
82,80,40,2023-04-08,27-282,UTA,,DEN,W (+4),0,17.516666666666666,3.0,4.0,.750,0.0,0.0,,0,0,,4,1,5,1,0,0,0,1,6,7.8,-10,4.0,3.0,0.75,13,16,2,13,32,17,15,16,8,16,19,19,4,0,13,0,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588
83,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,13,16,2,13,32,17,15,16,8,16,19,19,4,0,13,0,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588
84,81,41,2023-04-09,27-283,UTA,@,LAL,L (-11),0,21.466666666666665,4.0,5.0,.800,0.0,1.0,.000,0,0,,1,4,5,1,0,0,0,4,8,7.1,+9,4.0,4.0,1.0,13,16,2,13,32,17,15,16,8,16,19,19,4,0,13,0,19,16,56.0,64.0,7.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.2321428571428571,0.25,0.2857142857142857,0.1969696969696969,0.6153846153846154,0.2428571428571428,0.2727272727272727,0.2857142857142857,0.2352941176470588,0.3902439024390244,0.2835820895522388,0.2602739726027397,0.6666666666666666,0.0,0.2203389830508474,,0.25,0.2352941176470588
