Player,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p1,p12,p13,p14
Dick Hemric,Ned Dixon Hemric,"(Dickie, Dixon)",Position: Power Forward Ñ”? Shoots: Right,"6-6, 220lb (198cm, 99kg)","Born: August 29, 1933 in Jonesville, North Carolina us","Died: August 3, 2017 (Aged 83-339d)",,,,,,,,
Alan Henderson,Alan Lybrooks Henderson,"Position: Power Forward, Center, and Small Forward Ñ”? Shoots: Right","6-9, 235lb (206cm, 106kg)","Born: December 2, 1972 (Age: 50-321d) in Indianapolis, Indiana us",College: Indiana,"High School: Brebeuf Jesuit in Indianapolis, Indiana","Draft: Atlanta Hawks, 1st round (16th pick, 16th overall), 1995 NBA Draft","NBA Debut: November 3, 1995",Career Length: 12 years,,,,,
Cedric Henderson,Cedric Earl Henderson,Position: Small Forward Ñ”? Shoots: Right,"6-7, 215lb (201cm, 97kg)","Born: March 11, 1975 (Age: 48-222d) in Memphis, Tennessee us",College: Memphis,"High School: East in Memphis, Tennessee","Draft: Cleveland Cavaliers, 2nd round (16th pick, 45th overall), 1997 NBA Draft","NBA Debut: October 31, 1997",Career Length: 5 years,,,,,
Dave Henderson,David McKinley Henderson,Position: Shooting Guard Ñ”? Shoots: Right,"6-5, 195lb (196cm, 88kg)","Born: July 21, 1964 (Age: 59-090d) in Henderson, North Carolina us",College: Duke,"High School: Warren County in Warrenton, North Carolina","Draft: Washington Bullets, 3rd round (11th pick, 58th overall), 1986 NBA Draft","NBA Debut: March 6, 1988",Career Length: 1 year,,,,,
Gerald Henderson,,Position: Shooting Guard Ñ”? Shoots: Right,"6-5, 215lb (196cm, 97kg)","Born: December 9, 1987 (Age: 35-314d) in Caldwell, New Jersey us",Relatives: Father Gerald Henderson,College: Duke,,,,,,,,
J.R. Henderson,Milton Henderson Jr.,(changed name to J.R. Sakuragi after NBA career),Position: Small Forward Ñ”? Shoots: Right,"6-8, 226lb (203cm, 102kg)","Born: October 30, 1976 (Age: 46-354d) in Bakersfield, California us",College: UCLA,"High School: East Bakersfield in Bakersfield, California","Draft: Vancouver Grizzlies, 2nd round (27th pick, 56th overall), 1998 NBA Draft","NBA Debut: February 7, 1999",Career Length: 1 year,,,,
Jerome Henderson,Jerome D. Henderson,Position: Power Forward and Center Ñ”? Shoots: Right,"6-11, 230lb (211cm, 104kg)","Born: October 5, 1959 (Age: 64-014d) in Los Angeles, California us",College: New Mexico,"High School: Jefferson in Los Angeles, California","NBA Debut: March 11, 1986",Career Length: 2 years,,,,,,
Kevin Henderson,Kevin Dwayne Henderson,Position: Shooting Guard and Point Guard Ñ”? Shoots: Right,"6-4, 195lb (193cm, 88kg)","Born: March 22, 1964 (Age: 59-211d) in Baltimore, Maryland us",College: Cal State Fullerton,"High School: Centennial in Compton, California","Draft: Cleveland Cavaliers, 3rd round (3rd pick, 50th overall), 1986 NBA Draft","NBA Debut: February 12, 1987",Career Length: 2 years,,,,,
Tom Henderson,,Position: Point Guard and Shooting Guard Ñ”? Shoots: Right,"6-3, 190lb (190cm, 86kg)","Born: January 26, 1952 (Age: 71-266d) in Newberry, South Carolina us",College: Hawaii,"High School: DeWitt Clinton in Bronx, New York","Draft: Atlanta Hawks, 1st round (7th pick, 7th overall), 1974 NBA Draft","NBA Debut: October 18, 1974",Career Length: 9 years,,,,,
Mark Hendrickson,Mark Allan Hendrickson,Position: Power Forward Ñ”? Shoots: Left,"6-9, 220lb (206cm, 99kg)","Born: June 23, 1974 (Age: 49-118d) in Mount Vernon, Washington us",College: Washington State,"High School: Mount Vernon in Mount Vernon, Washington","Draft: Philadelphia 76ers, 2nd round (2nd pick, 31st overall), 1996 NBA Draft","NBA Debut: November 20, 1996",Career Length: 4 years,,,,,
Larry Hennessy,Lawrence E. Hennessy,Position: Shooting Guard Ñ”? Shoots: Right,"6-3, 185lb (190cm, 83kg)","Born: May 20, 1929 in New Rochelle, New York us","Died: August 20, 2008 (Aged 79-092d)",College: Villanova,,,,,,,,
Don Henriksen,Donald Anton Henriksen,Position: Power Forward and Center Ñ”? Shoots: Right,"6-7, 225lb (201cm, 102kg)","Born: October 10, 1929 in Illinois us","Died: May 14, 2008 (Aged 78-217d)",College: California,"NBA Debut: November 1, 1952",Career Length: 2 years,,,,,,
Aaron Henry,,Position: Small Forward Ñ”? Shoots: Left,"6-6, 210lb (198cm, 95kg)","Born: August 30, 1999 (Age: 24-050d) in Louisville, Kentucky us",College: Michigan State,"High School: Ben Davis in Indianapolis, Indiana","NBA Debut: October 20, 2021",Career Length: 1 year,,,,,,
Al Henry,Albert J. Henry Jr.,(The Tree),Position: Center Ñ”? Shoots: Left,"6-9, 190lb (206cm, 86kg)","Born: February 9, 1949 (Age: 74-252d)",College: Wisconsin,"High School: Hamilton in Memphis, Tennessee","Draft: Philadelphia 76ers, 1st round (12th pick, 12th overall), 1970 NBA Draft","NBA Debut: October 16, 1970",Career Length: 2 years,,,,
Bill Henry,William Gambrell Henry,(Big Bill),Position: Center Ñ”? Shoots: Right,"6-9, 215lb (206cm, 97kg)","Born: December 27, 1924 in Dallas, Texas us","Died: December 23, 1985 (Aged 60-361d)",College: Rice University,"High School: Highland Park in Dallas, Texas",Career Length: 2 years,,,,,
Carl Henry,Carl J. Henry,Position: Shooting Guard Ñ”? Shoots: Right,"6-6, 205lb (198cm, 92kg)","Born: August 16, 1960 (Age: 63-064d) in Hollis, Oklahoma us",Relatives: Son Xavier Henry,"Colleges: Oklahoma City University, Kansas","High School: Grant in Oklahoma City, Oklahoma","Draft: Kansas City Kings, 4th round (10th pick, 80th overall), 1984 NBA Draft","NBA Debut: October 25, 1985",Career Length: 1 year,,,,
Conner Henry,Conner Henry,Position: Shooting Guard Ñ”? Shoots: Right,"6-7, 195lb (201cm, 88kg)","Born: July 21, 1963 (Age: 60-090d) in Claremont, California us",College: UC Santa Barbara,"High School: Claremont in Claremont, California","Draft: Houston Rockets, 4th round (19th pick, 89th overall), 1986 NBA Draft","NBA Debut: November 1, 1986",Career Length: 2 years,,,,,
Myke Henry,,(Buckets),Position: Small Forward Ñ”? Shoots: Right,"6-6, 210lb (198cm, 95kg)","Born: December 23, 1992 (Age: 30-300d) in Chicago, Illinois us",College: DePaul,"High School: Orr in Chicago, Illinois",Recruiting Rank: 2011 (66),"NBA Debut: January 20, 2018",Career Length: 1 year,,,,
Skeeter Henry,Herman Henry,Position: Shooting Guard Ñ”? Shoots: Right,"6-7, 190lb (201cm, 86kg)","Born: December 8, 1967 (Age: 55-315d) in Dallas, Texas us","Colleges: Midland College, Oklahoma","High School: South Grand Prairie in Grand Prairie, Texas","NBA Debut: April 18, 1994",Career Length: 1 year,,,,,,
Xavier Henry,,Xavier Henry Ñ”? Twitter: XavierHenry,Position: Small Forward and Shooting Guard Ñ”? Shoots: Left,"6-6, 220lb (198cm, 99kg)","Born: March 15, 1991 (Age: 32-218d) in Gent, Belgium be",Relatives: Father Carl Henry,,,,,,,,
John Henson,,Position: Center and Power Forward Ñ”? Shoots: Right,"6-9, 219lb (206cm, 99kg)","Born: December 28, 1990 (Age: 32-295d) in Greensboro, North Carolina us",College: UNC,"High School: Sickles in Tampa, Florida",Recruiting Rank: 2009 (5),"Draft: Milwaukee Bucks, 1st round (14th pick, 14th overall), 2012 NBA Draft","NBA Debut: November 7, 2012",Career Length: 8 years,,,,
Steve Henson,Steven Michael Henson,(Die Hard),Position: Point Guard Ñ”? Shoots: Right,"5-11, 177lb (180cm, 80kg)","Born: February 2, 1968 (Age: 55-259d) in Junction City, Kansas us",College: Kansas State,"High School: McPherson in McPherson, Kansas","Draft: Milwaukee Bucks, 2nd round (17th pick, 44th overall), 1990 NBA Draft","NBA Debut: November 2, 1990",Career Length: 7 years,,,,
Charlie Hentz,Charles Hentz,(Helicopter),Position: Power Forward Ñ”? Shoots: Right,"6-5, 210lb (196cm, 95kg)","Born: September 13, 1947 (Age: 76-036d)",College: University of Arkansas at Pine Bluff,"Draft: San Diego Rockets, 5th round (6th pick, 63rd overall), 1969 NBA Draft","ABA Debut: October 15, 1970",Career Length: 1 year,,,,,
Bill Herman,William Robert Herman,Position: Guard Ñ”? Shoots: Right,"6-3, 170lb (190cm, 77kg)","Born: May 17, 1924 in Ohio us","Died: June 13, 2010 (Aged 86-027d)",College: Mount Union College,"High School: Dover in Dover, Ohio","NBA Debut: January 31, 1950",Career Length: 1 year,,,,,
Kleggie Hermsen,Clarence Henry Hermsen,Position: Center/Forward Ñ”? Shoots: Right,"6-9, 225lb (206cm, 102kg)","Born: March 12, 1923 in Hill City, Minnesota us","Died: March 2, 1994 (Aged 70-355d)",College: Minnesota,"High School: Vocational in Minneapolis, Minnesota","NBA Debut: November 3, 1946",Career Length: 6 years,,,,,
Dewan Hernandez,,Dewan Antonio Hernandez Ñ”? Twitter: DewanGoesFor_20 Ñ”? Instagram: dewanhernandez,Position: Center Ñ”? Shoots: Right,"6-10, 235lb (208cm, 106kg)","Born: December 9, 1996 (Age: 26-314d) in Miami, Florida us",College: Miami (FL),,,,,,,,
Juancho Hernang??mez,,Juan Alberto Hernang??mez Ñ”? Twitter: juanchiviris41 Ñ”? Instagram: juanchiviris41,(Juancho),Position: Power Forward Ñ”? Shoots: Right,"6-9, 214lb (206cm, 97kg)","Born: September 28, 1995 (Age: 28-021d) in Madrid, Spain es",Relatives: Brother Willy Hernang??mez,"Draft: Denver Nuggets, 1st round (15th pick, 15th overall), 2016 NBA Draft","NBA Debut: October 26, 2016",Experience: 7 years,,,,
Willy Hernang??mez,,Guillermo Gustavo Hernang??mez Ñ”? Twitter: willyhg94 Ñ”? Instagram: willyhernangomez,(Willy),Position: Center Ñ”? Shoots: Right,"6-11, 250lb (211cm, 113kg)","Born: May 27, 1994 (Age: 29-145d) in Madrid, Spain es",,,,,,,,
Chris Herren,Chris Albert Herren Ñ”? Twitter: c_herren,Position: Point Guard Ñ”? Shoots: Right,"6-2, 197lb (188cm, 89kg)","Born: September 27, 1975 (Age: 48-022d) in Fall River, Massachusetts us","Colleges: Boston College, Fresno State","High School: Durfee in Fall River, Massachusetts","Draft: Denver Nuggets, 2nd round (4th pick, 33rd overall), 1999 NBA Draft","NBA Debut: November 14, 1999",Career Length: 2 years,,,,,
Carl Herrera,Carl V??ctor Herrera,(Amigo),Position: Power Forward Ñ”? Shoots: Right,"6-9, 215lb (206cm, 97kg)","Born: December 14, 1966 (Age: 56-309d) in Trinidad, Trinidad and Tobago tt","Colleges: Jacksonville College, Houston",,,,,,,,
Walter Herrmann,Pronunciation: \hair-MAHN\,Walter Herrmann,(Full name Walter Herrmann Heinrich),"(Fabio, Brady Bunch)",Position: Power Forward and Small Forward Ñ”? Shoots: Right,"6-9, 225lb (206cm, 102kg)","Born: June 26, 1979 (Age: 44-115d) in Venado Tuerto, Argentina ar","NBA Debut: November 10, 2006",Career Length: 3 years,,,,,
Tyler Herro,,Tyler Christopher Herro Ñ”? Twitter: raf_tyler Ñ”? Instagram: nolimitherro,"(Boy Wonder, Bucket, Baby GOAT)",Position: Shooting Guard Ñ”? Shoots: Right,"6-5, 195lb (196cm, 88kg)","Born: January 20, 2000 (Age: 23-272d) in Milwaukee, Wisconsin us",,,,,,,,
Keith Herron,Keith Orlando Herron,Position: Shooting Guard Ñ”? Shoots: Right,"6-6, 195lb (198cm, 88kg)","Born: June 14, 1956 (Age: 67-127d) in Memphis, Tennessee us",College: Villanova,"High School: Mackin in Washington, District of Columbia","Draft: Portland Trail Blazers, 2nd round (2nd pick, 24th overall), 1978 NBA Draft","NBA Debut: October 28, 1978",Career Length: 3 years,,,,,
Sonny Hertzberg,Sidney Hertzberg,Position: Guard Ñ”? Shoots: Right,"5-10, 175lb (178cm, 79kg)","Born: July 29, 1922 in Brooklyn, New York us","Died: July 24, 2005 (Aged 82-360d)",College: City College of New York,"High School: Tilden in Brooklyn, New York","NBA Debut: November 1, 1946",Career Length: 5 years,,,,,
Kevin Hervey,,Kevin Hervey Ñ”? Twitter: kherv_25,Position: Power Forward Ñ”? Shoots: Right,"6-9, 230lb (206cm, 104kg)","Born: July 9, 1996 (Age: 27-102d) in Arlington, Texas us",College: UT Arlington,"High School: Bowie in Arlington, Texas","Draft: Oklahoma City Thunder, 2nd round (27th pick, 57th overall), 2018 NBA Draft","NBA Debut: December 26, 2019",Experience: 1 year,,,,
Dan Hester,Dan W. Hester,Position: Center Ñ”? Shoots: Right,"6-8, 210lb (203cm, 95kg)","Born: November 8, 1948 (Age: 74-345d)",College: LSU,"High School: Mount Vernon in Mount Vernon, Illinois","Draft: Atlanta Hawks, 2nd round (14th pick, 31st overall), 1970 NBA Draft","ABA Debut: October 14, 1970",Career Length: 1 year,,,,,
Fred Hetzel,Fred W. Hetzel,Position: Small Forward and Power Forward Ñ”? Shoots: Right,"6-8, 220lb (203cm, 99kg)","Born: July 21, 1942 (Age: 81-090d) in Washington, District of Columbia us",Relatives: Brother Will Hetzel,College: Davidson,,,,,,,,
Bill Hewitt,William Severlyn Hewitt,Position: Power Forward Ñ”? Shoots: Right,"6-7, 210lb (201cm, 95kg)","Born: August 8, 1944 (Age: 79-072d) in Cambridge, Massachusetts us",College: USC,"High School: Cambridge Rindge & Latin in Cambridge, Massachusetts","Draft: Los Angeles Lakers, 1st round (11th pick, 11th overall), 1968 NBA Draft","NBA Debut: October 18, 1968",Career Length: 6 years,,,,,
Jack Hewson,John G. Hewson,Position: Forward/Center Ñ”? Shoots: Right,"6-6, 195lb (198cm, 88kg)","Born: September 7, 1924 in Waldick, New Jersey us","Died: June 26, 2012 (Aged 87-293d)",College: Temple,"High School: Ramsey in Ramsey, New Jersey","Draft: Boston Celtics, 5th round, 1947 BAA Draft",Career Length: 1 year,,,,,
Art Heyman,Arthur Bruce Heyman,(The Pest),Position: Shooting Guard and Small Forward Ñ”? Shoots: Right,"6-5, 205lb (196cm, 92kg)","Born: June 24, 1941 in New York, New York us","Died: August 27, 2012 (Aged 71-064d)",,,,,,,,
Mario Hezonja,,Mario Hezonja Ñ”? Twitter: mariohezonja Ñ”? Instagram: supermariohezonja,"(The Beast, Super Mario, Crobe)",Position: Small Forward and Power Forward Ñ”? Shoots: Right,"6-8, 220lb (203cm, 99kg)","Born: February 25, 1995 (Age: 28-236d) in Dubrovnik, Croatia hr","Draft: Orlando Magic, 1st round (5th pick, 5th overall), 2015 NBA Draft","NBA Debut: October 28, 2015",Career Length: 5 years,,,,,
Roy Hibbert,,Position: Center Ñ”? Shoots: Right,"7-2, 270lb (218cm, 122kg)","Born: December 11, 1986 (Age: 36-312d) in Queens, New York us",College: Georgetown,"High School: Georgetown Preparatory School in North Bethesda, Maryland","Draft: Toronto Raptors, 1st round (17th pick, 17th overall), 2008 NBA Draft","NBA Debut: October 29, 2008",Career Length: 9 years,,,,,
Nat Hickey,Matthew J. Hickey,Position: Guard/Forward Ñ”? Shoots: Right,"5-11, 180lb (180cm, 81kg)","Born: January 30, 1902 in Hoboken, New Jersey us","Died: September 16, 1979 (Aged 77-229d)","NBA Debut: January 27, 1948",Career Length: 1 year,,,,,,,
Isaiah Hicks,,Position: Power Forward Ñ”? Shoots: Right,"6-9, 230lb (206cm, 104kg)","Born: July 24, 1994 (Age: 29-087d) in Oxford, North Carolina us",College: UNC,"High School: J.F. Webb in Oxford, North Carolina",Recruiting Rank: 2013 (14),"NBA Debut: February 8, 2018",Career Length: 2 years,,,,,
Phil Hicks,Phillip James Hicks,Position: Small Forward Ñ”? Shoots: Right,"6-7, 205lb (201cm, 92kg)","Born: January 31, 1953 (Age: 70-261d) in Chicago, Illinois us",College: Tulane,"High School: Brother Rice in Chicago, Illinois","Draft: Portland Trail Blazers, 4th round (7th pick, 61st overall), 1975 NBA Draft, and Houston Rockets, 2nd round (10th pick, 27th overall), 1976 NBA Draft","NBA Debut: October 21, 1976",Career Length: 2 years,,,,,
J.J. Hickson,,Position: Center and Power Forward Ñ”? Shoots: Right,"6-9, 242lb (206cm, 109kg)","Born: September 4, 1988 (Age: 35-045d) in Atlanta, Georgia us",College: NC State,"High School: Wheeler in Marietta, Georgia",Recruiting Rank: 2007 (9),"Draft: Cleveland Cavaliers, 1st round (19th pick, 19th overall), 2008 NBA Draft","NBA Debut: October 30, 2008",Career Length: 8 years,,,,
Buddy Hield,,Chavano Rainer Hield Ñ”? Twitter: buddyhield Ñ”? Instagram: buddylove242,"(Buddy Love, Buddy Fresh, Buddy Buckets)",Position: Shooting Guard and Small Forward Ñ”? Shoots: Right,"6-4, 220lb (193cm, 99kg)","Born: December 17, 1992 (Age: 30-306d) in Freeport, Bahamas bs",,,,,,,,
Bill Higgins,William Higgins,Position: Shooting Guard Ñ”? Shoots: Right,"6-2, 180lb (188cm, 81kg)","Born: December 15, 1952 (Age: 70-308d) in Toledo, Ohio us",College: Ashland University,"Draft: New Orleans Jazz, 7th round (1st pick, 109th overall), 1975 NBA Draft","ABA Debut: October 26, 1974",Career Length: 1 year,,,,,,
Cory Higgins,,Position: Shooting Guard and Point Guard Ñ”? Shoots: Right,"6-5, 180lb (196cm, 81kg)","Born: June 14, 1989 (Age: 34-127d) in Danville, California us",Relatives: Father Rod Higgins,College: Colorado,"High School: Monte Vista in Danville, California","NBA Debut: January 1, 2012",Career Length: 2 years,,,,,
Earle Higgins,Earle Brent Higgins,(Sticks),Position: Power Forward Ñ”? Shoots: Right,"6-8, 195lb (203cm, 88kg)","Born: December 30, 1946 (Age: 76-293d)",Relatives: Son Sean Higgins,,,,,,,,
Mike Higgins,Michael S. Higgins,Position: Small Forward Ñ”? Shoots: Right,"6-9, 220lb (206cm, 99kg)","Born: February 17, 1967 (Age: 56-244d) in Grand Island, Nebraska us",College: University of Northern Colorado,"High School: West in Greeley, Colorado","NBA Debut: November 12, 1989",Career Length: 2 years,,,,,,
Rod Higgins,Roderick Dwayne Higgins,Position: Small Forward and Power Forward Ñ”? Shoots: Right,"6-7, 200lb (201cm, 90kg)","Born: January 31, 1960 (Age: 63-261d) in Monroe, Louisiana us",Relatives: Son Cory Higgins,College: Fresno State,"High School: Thornton Township in Harvey, Illinois","Draft: Chicago Bulls, 2nd round (8th pick, 31st overall), 1982 NBA Draft","NBA Debut: October 29, 1982",Career Length: 13 years,,,,
Sean Higgins,Sean Marielle Higgins,(The Dean),Position: Small Forward and Power Forward Ñ”? Shoots: Right,"6-9, 205lb (206cm, 92kg)","Born: December 30, 1968 (Age: 54-293d) in Los Angeles, California us",Relatives: Father Earle Higgins,,,,,,,,
Kenny Higgs,Kenneth Lee Higgs Jr.,Position: Point Guard Ñ”? Shoots: Right,"6-0, 180lb (183cm, 81kg)","Born: January 31, 1955 (Age: 68-261d) in Owensboro, Kentucky us",College: LSU,"High School: Owensboro in Owensboro, Kentucky","Draft: Cleveland Cavaliers, 3rd round (13th pick, 57th overall), 1978 NBA Draft","NBA Debut: October 13, 1978",Career Length: 3 years,,,,,
Johnny High,Johnny Harold High,(Sky),Position: Point Guard and Shooting Guard Ñ”? Shoots: Right,"6-3, 185lb (190cm, 83kg)","Born: April 25, 1957 in Birmingham, Alabama us","Died: June 13, 1987 (Aged 30-049d)",,,,,,,,
Haywood Highsmith,,Position: Power Forward and Small Forward Ñ”? Shoots: Right,"6-7, 220lb (201cm, 99kg)","Born: December 9, 1996 (Age: 26-314d) in Baltimore, Maryland us",College: Wheeling University,"High School: Archbishop Curley in Baltimore, Maryland","NBA Debut: January 8, 2019",Experience: 3 years,,,,,,
Wayne Hightower,Wayne A. Hightower,(Spain),Position: Power Forward Ñ”? Shoots: Right,"6-8, 192lb (203cm, 87kg)","Born: January 14, 1940 in Philadelphia, Pennsylvania us","Died: April 18, 2002 (Aged 62-094d)",,,,,,,,
Nen??,,Nen?? Hil??rio Ñ”? Twitter: NeneHilario42 Ñ”? Instagram: nenehilario_42,"(Formerly known as Maybyner Rodney Hil??rio, legally Nen?? since 2003)",Position: Center and Power Forward Ñ”? Shoots: Right,"6-11, 250lb (211cm, 113kg)","Born: September 13, 1982 (Age: 41-036d) in Sao Carlos, Brazil br",,,,,,,,
Armond Hill,Armond G. Hill,Position: Point Guard Ñ”? Shoots: Right,"6-4, 190lb (193cm, 86kg)","Born: March 31, 1953 (Age: 70-202d) in Brooklyn, New York us",College: Princeton,"High School: Bishop Ford in Brooklyn, New York","Draft: Atlanta Hawks, 1st round (9th pick, 9th overall), 1976 NBA Draft","NBA Debut: October 21, 1976",Career Length: 8 years,,,,,
Cleo Hill,Cleo Hill,(Machine Gun),Position: Shooting Guard Ñ”? Shoots: Right,"6-1, 185lb (185cm, 83kg)","Born: May 24, 1938 in Newark, New Jersey us","Died: August 10, 2015 (Aged 77-078d)",,,,,,,,
Gary Hill,Gary Weir Hill,Position: Shooting Guard Ñ”? Shoots: Right,"6-4, 185lb (193cm, 83kg)","Born: October 7, 1941","Died: January 17, 2009 (Aged 67-102d)",College: Oklahoma City University,"Draft: San Francisco Warriors, 2nd round (3rd pick, 12th overall), 1963 NBA Draft","NBA Debut: October 19, 1963",Career Length: 2 years,,,,,
George Hill,,Position: Point Guard and Shooting Guard Ñ”? Shoots: Right,"6-4, 188lb (193cm, 85kg)","Born: May 4, 1986 (Age: 37-168d) in Indianapolis, Indiana us",College: IUPUI,"High School: Broad Ripple in Indianapolis, Indiana","Draft: San Antonio Spurs, 1st round (26th pick, 26th overall), 2008 NBA Draft","NBA Debut: November 4, 2008",Experience: 15 years,,,,,
Grant Hill,,"(G-Money, Mr. Nice)",Position: Small Forward and Shooting Guard Ñ”? Shoots: Right,"6-8, 225lb (203cm, 102kg)","Born: October 5, 1972 (Age: 51-014d) in Dallas, Texas us",College: Duke,,,,,,,,
Jordan Hill,,Position: Center and Power Forward Ñ”? Shoots: Right,"6-10, 235lb (208cm, 106kg)","Born: July 27, 1987 (Age: 36-084d) in Atlanta, Georgia us","Relatives: Cousins Trevor Booker, Devin Booker",College: Arizona,"High School: The Patterson School in Lenoir, North Carolina","Draft: New York Knicks, 1st round (8th pick, 8th overall), 2009 NBA Draft","NBA Debut: October 28, 2009",Career Length: 8 years,,,,
Malcolm Hill,,Position: Small Forward and Shooting Guard Ñ”? Shoots: Right,"6-6, 220lb (198cm, 99kg)","Born: October 26, 1995 (Age: 27-358d) in St. Louis, Missouri us",College: Illinois,"High School: Belleville East in Belleville, Illinois",Recruiting Rank: 2013 (70),"NBA Debut: December 25, 2021",Experience: 2 years,,,,,
Simmie Hill,Simmie Hill Jr.,Position: Small Forward Ñ”? Shoots: Right,"6-7, 233lb (201cm, 105kg)","Born: November 14, 1946 in Midland, Pennsylvania us","Died: July 14, 2013 (Aged 66-242d)","Colleges: Wichita State, Cameron University, West Texas A&M University","High School: Midland in Midland, Pennsylvania","Draft: Chicago Bulls, 2nd round (1st pick, 16th overall), 1969 NBA Draft","ABA Debut: October 17, 1969",Career Length: 4 years,,,,
Solomon Hill,,(Solo),Position: Small Forward and Power Forward Ñ”? Shoots: Right,"6-6, 226lb (198cm, 102kg)","Born: March 18, 1991 (Age: 32-215d) in Los Angeles, California us",College: Arizona,,,,,,,,
Steven Hill,Steven Hill,Position: Power Forward Ñ”? Shoots: Left,"7-0, 248lb (213cm, 112kg)","Born: November 14, 1985 (Age: 37-339d) in Chanute, Kansas us",College: Arkansas,"High School: Branson in Branson, Missouri",Recruiting Rank: 2004 (44),"NBA Debut: November 12, 2008",Career Length: 1 year,,,,,
Tyrone Hill,,Position: Power Forward and Center Ñ”? Shoots: Right,"6-9, 240lb (206cm, 108kg)","Born: March 19, 1968 (Age: 55-214d) in Cincinnati, Ohio us",College: Xavier,"High School: Withrow in Cincinnati, Ohio","Draft: Golden State Warriors, 1st round (11th pick, 11th overall), 1990 NBA Draft","NBA Debut: November 2, 1990",Career Length: 14 years,,,,,
Art Hillhouse,Arthur Sherwood Hillhouse,Position: Center Ñ”? Shoots: Right,"6-7, 220lb (201cm, 99kg)","Born: June 12, 1916 in Rutherford, New Jersey us","Died: October 27, 1980 (Aged 64-137d)",College: Long Island University,"High School: Rutherford in Rutherford, New Jersey","NBA Debut: November 7, 1946",Career Length: 2 years,,,,,
Darrun Hilliard,,(Money),Position: Shooting Guard Ñ”? Shoots: Left,"6-6, 205lb (198cm, 92kg)","Born: April 13, 1993 (Age: 30-189d) in Bethlehem, Pennsylvania us",College: Villanova,"High School: Liberty in Bethlehem, Pennsylvania","Draft: Detroit Pistons, 2nd round (8th pick, 38th overall), 2015 NBA Draft","NBA Debut: November 23, 2015",Career Length: 3 years,,,,
Darnell Hillman,Darnell Hillman,(Dr. Dunk),Position: Power Forward and Center Ñ”? Shoots: Right,"6-9, 215lb (206cm, 97kg)","Born: August 29, 1949 (Age: 74-051d) in Sacramento, California us",College: San Jose State,,,,,,,,
Fred Hilton,Fred Hilton,Position: Shooting Guard Ñ”? Shoots: Right,"6-3, 185lb (190cm, 83kg)","Born: January 15, 1948 (Age: 75-277d)",College: Grambling State University,"High School: McKinley in Baton Rouge, Louisiana","Draft: Buffalo Braves, 2nd round (2nd pick, 19th overall), 1971 NBA Draft","NBA Debut: October 12, 1971",Career Length: 2 years,,,,,
Kirk Hinrich,,Kirk James Hinrich,(Captain Kirk),Position: Point Guard and Shooting Guard Ñ”? Shoots: Right,"6-4, 190lb (193cm, 86kg)","Born: January 2, 1981 (Age: 42-290d) in Sioux City, Iowa us",,,,,,,,
Roy Hinson,Roy Manus Hinson Jr.,"(Big Fella, King Roy)",Position: Small Forward and Power Forward Ñ”? Shoots: Right,"6-9, 210lb (206cm, 95kg)","Born: May 2, 1961 (Age: 62-170d) in Trenton, New Jersey us",College: Rutgers University,"High School: Franklin Township in Somerset, New Jersey","Draft: Cleveland Cavaliers, 1st round (20th pick, 20th overall), 1983 NBA Draft","NBA Debut: October 28, 1983",Career Length: 8 years,,,,
Nate Hinton,,Position: Shooting Guard and Small Forward Ñ”? Shoots: Right,"6-5, 210lb (196cm, 95kg)","Born: June 8, 1999 (Age: 24-133d) in Gastonia, North Carolina us",College: Houston,"High School: Gaston Day School in Gastonia, North Carolina","NBA Debut: January 3, 2021",Experience: 2 years,,,,,,
Mel Hirsch,Melvin M. Hirsch,Position: Guard Ñ”? Shoots: Right,"5-6, 165lb (168cm, 74kg)","Born: July 31, 1921",Died: December 1968,College: Brooklyn College,Career Length: 1 year,,,,,,,
Lew Hitch,Lewis Rufus Hitch,Position: Power Forward Ñ”? Shoots: Right,"6-8, 200lb (203cm, 90kg)","Born: July 16, 1929 in Griggsville, Illinois us","Died: February 8, 2012 (Aged 82-207d)",College: Kansas State,"Draft: Minneapolis Lakers, 2nd round (10th pick, 20th overall), 1951 NBA Draft","NBA Debut: November 3, 1951",Career Length: 6 years,,,,,
Robert Hite,Robert J. Hite II,(Flight),Position: Shooting Guard Ñ”? Shoots: Left,"6-2, 184lb (188cm, 83kg)","Born: January 12, 1984 (Age: 39-280d) in Cincinnati, Ohio us",College: Miami (FL),"High School: Winton Woods in Cincinnati, Ohio",Recruiting Rank: 2002 (64),"NBA Debut: October 31, 2006",Career Length: 1 year,,,,
Jaylen Hoard,,Position: Small Forward and Power Forward Ñ”? Shoots: Right,"6-8, 216lb (203cm, 97kg)","Born: March 30, 1999 (Age: 24-203d) in Le Havre, France fr",College: Wake Forest,"High School: Wesleyan Christian Academy in High Point, North Carolina",Recruiting Rank: 2018 (19),"NBA Debut: November 10, 2019",Career Length: 3 years,,,,,
Darington Hobson,,Darington O'Neal Hobson Ñ”? Twitter: ParkaySmooth,(Butta),Position: Shooting Guard Ñ”? Shoots: Left,"6-7, 210lb (201cm, 95kg)","Born: September 29, 1987 (Age: 36-020d) in Las Vegas, Nevada us",,,,,,,,
