Player,championship_x,SUMMARY,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS,championship_y
Chris Andersen,2013 NBA Champ,Career,695,5.4,5,0.5,53.2,22.1,65.4,53.5,16.7,39.7,1
Rolando Blackman,4x All Star,Career,980,18,3.3,3,49.3,34.3,84,50.1,16.7,75.6,
Ron Bonham,2x NBA Champ,Career,118,6.1,1.4,0.4,38.8,0,82.4,38.8,16.7,2.7,
Bob Dandridge,"Hall of Fame
4x All Star
2x NBA Champ
1978-79 All-NBA
1969-70 All-Rookie
1978-79 All-Defensive",Career,839,18.5,6.8,3.4,48.4,16.7,78,48.4,16.7,80.3,
Gail Goodrich,"Hall of Fame
5x All Star
1972 NBA Champ
1973-74 All-NBA",Career,1031,18.6,3.2,4.7,45.6,,80.7,,16.7,76.3,
Josh Howard,"1x All Star
2003-04 All-Rookie",Career,507,14.3,5.7,1.6,44.8,33.2,77,47.6,16.7,38,
Gus Johnson,"Hall of Fame
5x All Star
1973 ABA Champ
4x All-NBA
1963-64 All-Rookie
2x All-Defensive",Career,631,16.2,12.1,2.5,44,19,70,44,16.7,36.9,
Eddie Jones,"3x All Star
1999-00 STL Champ
1999-00 All-NBA
1994-95 All-Rookie
3x All-Defensive",Career,954,14.8,4,2.9,43.7,37.3,80.9,50.5,16.7,100.6,
Khris Middleton,"3x All Star
2021 NBA Champ",Career,684,17,4.8,3.8,45.7,38.8,88.2,52.6,16.7,52.5,
Nikola Miroti?,2014-15 All-Rookie,Career,319,12.3,5.9,1.3,42.3,35.9,80.8,52.2,16.7,20.8,
Mike Mitchell,1x All Star,Career,759,19.8,5.6,1.3,49.3,21.6,77.9,49.4,16.7,50.2,
Johnny Moore,1981-82 AST Champ,Career,520,9.4,3,7.4,46,25.1,71.2,47.1,16.7,30.1,
Cincy Powell,"2x All Star
1967-68 All-ABA",Career,599,16.3,7.6,2.2,47.2,27.4,72.5,47.4,16.7,41.1,
Arnie Risen,"Hall of Fame
4x All Star
2x NBA Champ
1948-49 All-BAA",Career,637,12,9.7,1.7,38.1,,69.9,,16.7,56,
Marreese Speights,2015 NBA Champ,Career,705,7.9,4.1,0.7,45.9,35.6,79.7,48.4,16.7,25.8,
Michael Adams,1x All Star,Career,653,14.7,2.9,6.4,41.5,33.2,84.9,47.5,16.6,46.9,
Desmond Bane,2020-21 All-Rookie,Career,202,16.1,4.1,2.9,46.9,42.5,88.3,57,16.6,16,
Willie Cauley-Stein,2015-16 All-Rookie,Career,422,8.7,5.9,1.4,54.4,18.8,61.2,54.5,16.6,23.3,
Doc Rivers,1x All Star,Career,864,10.9,3,5.7,44.4,32.8,78.4,46.9,16.6,68.2,
Bob Rule,"1x All Star
1967-68 All-Rookie",Career,403,17.4,8.3,1.5,46.1,,68.6,,16.6,22.7,
Reggie Theus,"2x All Star
1978-79 All-Rookie",Career,1026,18.5,3.3,6.3,47.1,25.2,82.6,47.9,16.6,66.9,
Ryan Anderson,2011-12 Most Improved,Career,649,12.3,5.3,0.9,42.2,38,85.4,52.3,16.5,46.7,
Otis Birdsong,"4x All Star
1980-81 All-NBA",Career,696,18,3,3.2,50.6,27.4,65.5,50.9,16.5,48.2,
DeJuan Blair,2009-10 All-Rookie,Career,424,6.8,5.1,0.8,52.4,0,60.8,52.4,16.5,19,
Tom Chambers,"4x All Star
2x All-NBA
1986-87 AS MVP",Career,1107,18.1,6.1,2.1,46.8,30.7,80.7,47.6,16.5,79,
Maurice Cheeks,"Hall of Fame
4x All Star
1983 NBA Champ
5x All-Defensive",Career,1101,11.1,2.8,6.7,52.3,25.5,79.3,52.6,16.5,103.5,
Bison Dele,1997 NBA Champ,Career,413,11,6.2,1.1,52.8,14.3,69.1,52.8,16.5,22.8,
Goran Dragi?,"1x All Star
2013-14 All-NBA
2013-14 Most Improved",Career,946,13.3,3,4.7,45.9,36.2,76.6,51.7,16.5,56.7,
Jim Eakins,"1x All Star
2x ABA Champ",Career,767,10.8,7.3,1.8,50.4,0,78.8,50.4,16.5,57.5,
Happy Hairston,1972 NBA Champ,Career,776,14.8,10.3,1.6,47.8,,74.1,,16.5,70,
Richard Hamilton,"3x All Star
2004 NBA Champ",Career,921,17.1,3.1,3.4,44.9,34.6,85.2,46.9,16.5,62.8,
Nerlens Noel,2014-15 All-Rookie,Career,467,7.1,6.1,1.1,54.6,20,65.5,54.7,16.5,28.3,
Lamar Odom,"2x NBA Champ
1999-00 All-Rookie
2010-11 Sixth Man",Career,961,13.3,8.4,3.7,46.3,31.2,69.3,49.5,16.5,77,
D'Angelo Russell,"1x All Star
2015-16 All-Rookie",Career,495,17.7,3.5,5.7,42.6,36.2,78.8,50.9,16.5,19.5,
Randy Smith,"2x All Star
1975-76 All-NBA
1977-78 AS MVP",Career,976,16.7,3.7,4.6,47,15.5,78.1,47,16.5,60.1,
Jerry Stackhouse,"2x All Star
1995-96 All-Rookie",Career,970,16.9,3.2,3.3,40.9,30.9,82.2,44.6,16.5,52.4,
Nate Thurmond,"Hall of Fame
7x All Star
1963-64 All-Rookie
5x All-Defensive
NBA 75th Anniv. Team",Career,964,15,15,2.7,42.1,,66.7,,16.5,78,
Jamaal Wilkes,"Hall of Fame
3x All Star
4x NBA Champ
1974-75 All-Rookie
1974-75 ROY
2x All-Defensive",Career,828,17.7,6.2,2.5,49.9,13.5,75.9,50,16.5,71.3,
Kenny Anderson,1x All Star,Career,858,12.6,3.1,6.1,42.1,34.6,79,44.9,16.4,62.5,
Dana Barros,"1x All Star
1994-95 Most Improved",Career,850,10.5,1.9,3.3,46,41.1,85.8,53.6,16.4,49.6,
Andrew Bogut,"2010-11 BLK Champ
2015 NBA Champ
2009-10 All-NBA
2005-06 All-Rookie
2014-15 All-Defensive",Career,706,9.6,8.7,2.2,53.5,12,55.7,53.5,16.4,50.6,
Jaylen Brown,"2x All Star
2022-23 All-NBA
2016-17 All-Rookie",Career,470,17.9,5.2,2.2,47.7,36.5,72.3,54.3,16.4,29.5,
Joe Barry Carroll,"1x All Star
1980-81 All-Rookie",Career,705,17.7,7.7,1.8,47.4,0,74.7,47.4,16.4,35.6,
Archie Clark,"2x All Star
1971-72 All-NBA",Career,725,16.3,3.3,4.8,48,,76.9,,16.4,64.7,
Armen Gilliam,1987-88 All-Rookie,Career,929,13.7,6.9,1.2,48.9,0,77.6,48.9,16.4,58.1,
Cedric Maxwell,"2x NBA Champ
1980-81 Finals MVP",Career,835,12.5,6.3,2.2,54.6,5.3,78.4,54.6,16.4,78.5,
Jamal Murray,"2023 NBA Champ
2016-17 All-Rookie",Career,410,16.9,3.7,4.2,44.7,37.3,87,52.2,16.4,26,
Jahlil Okafor,2015-16 All-Rookie,Career,247,10.4,4.7,0.9,54.2,22.2,67.6,54.3,16.4,7.2,
Dra?en Petrovi?,"Hall of Fame
1992-93 All-NBA",Career,290,15.4,2.3,2.4,50.6,43.7,84.1,54.4,16.4,21.5,
Thaddeus Young,2007-08 All-Rookie,Career,1139,12.4,5.7,1.8,50.3,32.8,66.3,52.4,16.4,70.7,
Darrell Armstrong,"1998-99 Most Improved
1998-99 Sixth Man",Career,840,9.2,2.7,4,40.9,33.4,87.1,48,16.3,49.8,
Vin Baker,"4x All Star
2x All-NBA
1993-94 All-Rookie",Career,791,15,7.4,1.9,48.5,21.5,63.8,48.7,16.3,47,
Byron Beck,2x All Star,Career,747,11.5,7,1.3,50.5,29.5,81.1,50.5,16.3,55,
Art Becker,"2x All Star
1970 ABA Champ",Career,414,12.5,6.3,1,48,32.1,83.5,48.1,16.3,28.1,
Terry Dischinger,"3x All Star
1962-63 All-Rookie
1962-63 ROY",Career,652,13.8,5.6,1.8,50.6,,75.8,,16.3,56.3,
Rudy Gay,2006-07 All-Rookie,Career,1120,15.8,5.6,2,45.2,34.6,79.9,49.2,16.3,61,
Drew Gooden,2002-03 All-Rookie,Career,790,11,7.1,1.1,46.2,25.7,76,46.8,16.3,43.9,
Mike Green,"1x All Star
1973-74 All-Rookie",Career,459,11.5,6.9,1.3,48,8.3,73.2,48,16.3,27.6,
Hersey Hawkins,"1x All Star
1988-89 All-Rookie",Career,983,14.7,3.6,2.9,46.1,39.4,87,51.8,16.3,90.6,
Warren Jabali,"4x All Star
1969 ABA Champ
1968-69 All-Rookie
1968-69 ROY
1972-73 All-ABA
1972-73 AS MVP
ABA All-Time Team",Career,447,17.1,6.7,5.3,43.1,31.9,75.6,45.7,16.3,35.1,
Larry Johnson,"2x All Star
1992-93 All-NBA
1991-92 All-Rookie
1991-92 ROY",Career,707,16.2,7.5,3.3,48.4,33.2,76.6,50.5,16.3,69.7,
Jeff Mullins,"3x All Star
1975 NBA Champ",Career,804,16.2,4.3,3.8,46.3,,81.4,,16.3,62.8,
Willie Naulls,"4x All Star
3x NBA Champ",Career,716,15.8,9.1,1.6,40.6,,81.2,,16.3,34.3,
Billy Paultz,"3x All Star
1974 ABA Champ
ABA All-Time Team",Career,1124,11.7,8,2,49.7,0,69,49.7,16.3,70.4,
Jason Richardson,2001-02 All-Rookie,Career,857,17.1,5,2.7,43.8,37,70.7,50.2,16.3,59.1,
Campy Russell,1x All Star,Career,566,15.8,4.8,3,45.9,36.6,77.2,46.2,16.3,35.8,
Luis Scola,2007-08 All-Rookie,Career,743,12,6.7,1.6,49.3,33.9,74,49.9,16.3,45.7,
Gerald Wallace,"1x All Star
2005-06 STL Champ
2009-10 All-Defensive",Career,832,11.9,5.8,2.1,46.9,31.2,70.9,49.6,16.3,59.7,
Darren Collison,2009-10 All-Rookie,Career,711,12.5,2.7,5,47.1,39.4,85.3,51.7,16.2,49.9,
Gorgui Dieng,2013-14 All-Rookie,Career,628,7.3,5.6,1.3,49.6,35.5,79.1,52.4,16.2,30.7,
Mitch Kupchak,"2x NBA Champ
1976-77 All-Rookie",Career,510,10.2,5.4,0.7,52.3,0,70.4,52.3,16.2,27.1,
Maurice Lucas,"5x All Star
1977 NBA Champ
1977-78 All-NBA
2x All-Defensive
ABA All-Time Team",Career,1021,14.6,9.1,2.4,47.1,14.3,76.5,47.2,16.2,69,
Steve Mix,1x All Star,Career,788,10.6,5.3,1.8,49.9,28.6,80.3,49.9,16.2,57.6,
Doug Moe,"3x All Star
1969 ABA Champ
2x All-ABA
ABA All-Time Team",Career,378,16.3,6.8,3.2,42.8,21.3,80,43,16.2,25.5,
Glen Rice,"3x All Star
2000 NBA Champ
2x All-NBA
1989-90 All-Rookie
1996-97 AS MVP",Career,1000,18.3,4.4,2.1,45.6,40,84.6,50.8,16.2,88.7,
Ralph Simpson,"5x All Star
3x All-ABA",Career,705,16.7,3.7,3.3,44.9,19,76.3,45.1,16.2,29,
Craig Smith,2006-07 All-Rookie,Career,403,7.6,3.9,0.8,55.3,3.7,66.1,55.3,16.2,16,
Elmore Smith,"1973-74 BLK Champ
1971-72 All-Rookie",Career,562,13.4,10.6,1.4,48.2,,57.9,,16.2,34.7,
Jason Terry,"2011 NBA Champ
1999-00 All-Rookie
2008-09 Sixth Man",Career,1410,13.4,2.3,3.8,44.4,38,84.5,51.7,16.2,102,
Klay Thompson,"5x All Star
4x NBA Champ
2x All-NBA
2011-12 All-Rookie
2018-19 All-Defensive",Career,716,19.8,3.5,2.3,45.5,41.6,85.2,55,16.2,51.7,
Kelly Tripucka,"2x All Star
1981-82 All-Rookie",Career,707,17.2,3.8,3,47.3,36.1,84.9,48.2,16.2,44.4,
Fred VanVleet,"1x All Star
2019 NBA Champ",Career,417,14.6,3.3,5.3,40.2,37.3,86.9,50,16.2,32.5,
Sidney Wicks,"4x All Star
1971-72 All-Rookie
1971-72 ROY",Career,760,16.8,8.7,3.2,45.9,0,68.5,45.9,16.2,42.4,
Cody Zeller,2013-14 All-Rookie,Career,509,8.4,5.9,1.4,52.2,21.8,73,52.7,16.2,32.7,
Mike Bibby,1998-99 All-Rookie,Career,1001,14.7,3.1,5.5,43.6,37.9,80.2,49.7,16.1,73.2,
Bob Boozer,"1x All Star
1971 NBA Champ",Career,874,14.8,8.1,1.4,46.2,,76.1,,16.1,64.2,
Tom Burleson,1974-75 All-Rookie,Career,446,9.4,6.3,1.3,44.5,0,72.6,44.5,16.1,22.9,
Tyson Chandler,"1x All Star
2011 NBA Champ
2011-12 All-NBA
3x All-Defensive
2011-12 Def. POY",Career,1160,8.2,9,0.8,59.7,0,64.4,59.7,16.1,102.1,
Doug Collins,4x All Star,Career,415,17.9,3.2,3.3,50.1,0,83.3,50.1,16.1,38,
Arnie Johnson,1951 NBA Champ,Career,332,8.7,6.2,2.2,41.8,,73.1,,16.1,39.3,
Bill Laimbeer,"4x All Star
1985-86 TRB Champ
2x NBA Champ",Career,1068,12.9,9.7,2,49.8,32.6,83.7,50.7,16.1,105.6,
Xavier McDaniel,"1x All Star
1985-86 All-Rookie",Career,870,15.6,6.1,2,48.5,26.1,71.8,48.9,16.1,47.8,
Don Nelson,"Hall of Fame
5x NBA Champ",Career,1053,10.3,4.9,1.4,48,,76.5,,16.1,74.6,
Jim Paxson,"2x All Star
1983-84 All-NBA",Career,784,14.3,2,2.9,49.8,22.5,80.7,50.3,16.1,53.7,
Steve Smith,"1x All Star
2003 NBA Champ
1991-92 All-Rookie",Career,942,14.3,3.2,3.1,44,35.8,84.5,49.4,16.1,83.7,
Andrew Toney,"2x All Star
1983 NBA Champ",Career,468,15.9,2.2,4.2,50,34.2,79.7,51.2,16.1,26.9,
Shawn Bradley,"1996-97 BLK Champ
1993-94 All-Rookie",Career,832,8.1,6.3,0.7,45.7,10.3,71.6,45.7,16,40.7,
Dell Curry,1993-94 Sixth Man,Career,1083,11.7,2.4,1.8,45.7,40.2,84.3,51.3,16,41.5,
Anthony Edwards,"1x All Star
2020-21 All-Rookie",Career,223,21.8,5.1,3.7,44.1,35.2,77,51.6,16,8.9,
Dale Ellis,"1x All Star
1988-89 All-NBA
1986-87 Most Improved",Career,1209,15.7,3.5,1.4,47.9,40.3,78.4,53.6,16,84.7,
Monta Ellis,2006-07 Most Improved,Career,833,17.8,3.5,4.6,45.1,31.4,77.2,48,16,41.9,
Michael Finley,"2x All Star
2007 NBA Champ
1995-96 All-Rookie",Career,1103,15.7,4.4,2.9,44.4,37.5,81.1,49.2,16,85.2,
Horace Grant,"1x All Star
4x NBA Champ
4x All-Defensive",Career,1165,11.2,8.1,2.2,50.9,6.3,69.2,50.9,16,118.2,
Derek Harper,2x All-Defensive,Career,1199,13.3,2.4,5.5,46.3,35.4,74.5,50.3,16,86.8,
Devin Harris,1x All Star,Career,985,10.8,2.2,3.9,43.2,32.5,79.6,48.3,16,54.9,
Art Heyman,"1968 ABA Champ
1963-64 All-Rookie",Career,310,13,4.7,2.8,42.7,28.1,70.3,43.8,16,19.3,
Mark Jackson,"1x All Star
1996-97 AST Champ
1987-88 All-Rookie
1987-88 ROY",Career,1296,9.6,3.8,8,44.7,33.2,77,48.1,16,91.8,
Kerry Kittles,1996-97 All-Rookie,Career,507,14.1,3.9,2.6,43.9,37.8,78,49.3,16,44.8,
Victor Oladipo,"2x All Star
2017-18 STL Champ
2017-18 All-NBA
2013-14 All-Rookie
2017-18 All-Defensive
2017-18 Most Improved",Career,504,16.9,4.5,3.9,43.6,34.7,78.8,49.3,16,25.6,
Ralph Sampson,"Hall of Fame
4x All Star
1984-85 All-NBA
1983-84 All-Rookie
1983-84 ROY
1984-85 AS MVP",Career,456,15.4,8.8,2.3,48.6,17.2,66.1,48.7,16,20.1,
Wally Szczerbiak,"1x All Star
1999-00 All-Rookie",Career,651,14.1,4,2.4,48.5,40.6,86,52.6,16,53.3,
Otis Thorpe,"1x All Star
1994 NBA Champ",Career,1257,14,8.2,2.2,54.6,4.7,68.7,54.6,16,106.4,
Wes Unseld,"Hall of Fame
5x All Star
1974-75 TRB Champ
1978 NBA Champ
1968-69 All-NBA
1968-69 All-Rookie
1968-69 MVP
1968-69 ROY
1977-78 Finals MVP
NBA 75th Anniv. Team",Career,984,10.8,14,3.9,50.9,50,63.3,50.9,16,110.1,
Charlie Villanueva,2005-06 All-Rookie,Career,656,10.4,4.6,0.8,43.5,34.1,77.2,49.4,16,22.6,
Antoine Walker,"3x All Star
2006 NBA Champ
1996-97 All-Rookie",Career,893,17.5,7.7,3.5,41.4,32.5,63.3,46.1,16,38.1,
Kermit Washington,"1x All Star
2x All-Defensive",Career,507,9.2,8.3,1.4,52.6,0,65.6,52.6,16,36,
Scottie Barnes,"2021-22 ROY
2021-22 All-Rookie",Career,151,15.3,7.1,4.2,47.3,29,75.5,50.4,15.9,11.6,
Elden Campbell,2004 NBA Champ,Career,1044,10.3,5.9,1.1,46,5.4,69.9,46,15.9,62.8,
Eddy Curry,2012 NBA Champ,Career,527,12.9,5.2,0.5,54.5,100,64.2,54.5,15.9,21.7,
Richard Dumas,1992-93 All-Rookie,Career,102,10.6,3.4,1.1,50.9,23.1,69.4,51.1,15.9,4.5,
Tom Gugliotta,"1x All Star
1992-93 All-Rookie",Career,763,13,7.3,2.8,45.1,28.4,75.7,46.3,15.9,40.2,
Eddie Johnson,1988-89 Sixth Man,Career,1199,16,4,2.1,47.2,33.5,84,48.9,15.9,65.6,
Goose Ligon,1x All Star,Career,434,12.8,10.9,2.1,48.7,12.5,64.3,48.8,15.9,36.1,
John Lucas,1976-77 All-Rookie,Career,928,10.7,2.3,7,44.9,30.3,77.6,46.3,15.9,53.7,
John Shumate,1975-76 All-Rookie,Career,318,12.3,7.5,1.8,51.6,0,72,51.6,15.9,24.5,
Jay Vincent,1981-82 All-Rookie,Career,576,15.2,5.5,2,47.4,14.8,78.4,47.4,15.9,27.5,
Carl Braun,"Hall of Fame
5x All Star
1962 NBA Champ
2x All-BAA/NBA",Career,788,13.5,3.4,3.7,38.3,,80.4,,15.8,64.3,
Jack Coleman,"1x All Star
2x NBA Champ",Career,633,10.6,9.2,2.8,41.6,,69.5,,15.8,47.7,
Brandon Ingram,"1x All Star
2016-17 All-Rookie
2019-20 Most Improved",Career,413,19.2,5.2,4.1,46.4,36.4,78.4,50.9,15.8,22.1,
Gene Moore,"1x All Star
1968-69 All-Rookie",Career,465,12,9.4,1.4,46.7,30.3,67.9,46.8,15.8,24.8,
Geoff Petrie,"2x All Star
1970-71 All-Rookie
1970-71 ROY",Career,446,21.8,2.8,4.6,45.5,,80.5,,15.8,26.1,
Rajon Rondo,"4x All Star
3x AST Champ
2009-10 STL Champ
2x NBA Champ
2011-12 All-NBA
2006-07 All-Rookie
4x All-Defensive",Career,957,9.8,4.5,7.9,45.6,32.4,61.1,48.3,15.8,61.8,
Cazzie Russell,"1x All Star
1970 NBA Champ
1966-67 All-Rookie",Career,817,15.1,3.8,2.2,46.4,,82.7,,15.8,51.7,
Charlie Scott,"Hall of Fame
5x All Star
1976 NBA Champ
2x All-ABA
1970-71 All-Rookie
1970-71 ROY
ABA All-Time Team",Career,717,20.7,4,4.9,44.8,25.3,77.3,44.9,15.8,41.4,
Phil Smith,"2x All Star
1975 NBA Champ
1975-76 All-NBA
1975-76 All-Defensive",Career,659,15.1,3,3.9,47.6,25.3,77.9,47.7,15.8,41.1,
Nick Van Exel,"1x All Star
1993-94 All-Rookie",Career,880,14.4,2.9,6.6,40.5,35.7,79.4,47.1,15.8,55.9,
Greg Ballard,1978 NBA Champ,Career,802,12.4,6.1,2.2,47.2,33.8,78.7,47.7,15.7,54,
Brent Barry,"2x NBA Champ
1995-96 All-Rookie",Career,912,9.3,3,3.2,46,40.5,82.3,57,15.7,70.5,
Darius Garland,1x All Star,Career,250,18.5,2.6,6.7,44.9,38.7,87.1,52.1,15.7,13.8,
Aaron Gordon,2023 NBA Champ,Career,596,13.4,6.3,2.5,47.2,32.5,68.6,52.3,15.7,35.6,
Hal Greer,"Hall of Fame
10x All Star
1967 NBA Champ
7x All-NBA
1967-68 AS MVP
NBA 75th Anniv. Team",Career,1122,19.2,5,4,45.2,,80.1,,15.7,102.7,
Brandon Jennings,2009-10 All-Rookie,Career,555,14.1,3,5.7,38.7,34.5,79.6,45.2,15.7,29.9,
Jamal Mashburn,"1x All Star
2002-03 All-NBA
1993-94 All-Rookie",Career,611,19.1,5.4,4,41.8,34.5,76.6,45.6,15.7,43.7,
Rony Seikaly,1989-90 Most Improved,Career,678,14.7,9.5,1.3,48.4,18.8,67.9,48.4,15.7,37.3,
George Stone,1971 ABA Champ,Career,259,13.6,5.7,1.3,44.4,32.3,78.1,46.7,15.7,13.9,
Mychal Thompson,"2x NBA Champ
1978-79 All-Rookie",Career,935,13.7,7.4,2.3,50.4,8.3,65.5,50.4,15.7,59.1,
Kevin Willis,"1x All Star
2003 NBA Champ
1991-92 All-NBA",Career,1424,12.1,8.4,0.9,48.7,21.1,71.3,48.8,15.7,81.8,
Don Barksdale,"Hall of Fame
1x All Star",Career,262,11,8,2.1,37,,66,,15.6,9.1,
Michael Beasley,2008-09 All-Rookie,Career,609,12.4,4.7,1.3,46.5,34.9,75.9,48.7,15.6,15.6,
Darel Carrier,"3x All Star
ABA All-Time Team",Career,350,20,3.4,2.6,41.7,37.7,85.1,45.1,15.6,30.5,
Len Chappell,1x All Star,Career,670,9.3,5.1,0.8,45.2,-,69.7,45.2,15.6,21.9,
Josh Childress,2004-05 All-Rookie,Career,391,9.1,4.7,1.6,52.2,32.9,77.9,54.2,15.6,25.7,
Jordan Clarkson,"2014-15 All-Rookie
2020-21 Sixth Man",Career,661,15.9,3.4,2.7,44,33.8,82.6,50.8,15.6,23.4,
Ron Harper,"5x NBA Champ
1986-87 All-Rookie",Career,1009,13.8,4.3,3.9,44.6,28.9,72,46.8,15.6,65.8,
Bob Houbregs,Hall of Fame,Career,281,9.3,5.5,1.8,40.4,,72.1,,15.6,16.5,
Dick McGuire,"Hall of Fame
7x All Star
1949-50 AST Champ
1950-51 All-NBA",Career,738,8,4.2,5.7,38.9,,64.4,,15.6,50.9,
Kelly Olynyk,2013-14 All-Rookie,Career,678,10.3,5.2,2.2,47.8,36.8,79.4,55.7,15.6,39.6,
Jim Pollard,"Hall of Fame
4x All Star
5x BAA/NBA Champ
4x All-BAA/NBA",Career,438,13.2,7.8,3.2,36,,75,,15.6,34.9,
Kevin Porter,4x AST Champ,Career,659,11.6,1.8,8.1,48.3,18.8,73.7,48.3,15.6,36,
Otto Porter Jr.,2022 NBA Champ,Career,512,10.5,5,1.5,47.8,39.7,79.7,55.5,15.6,36.5,
Immanuel Quickley,2020-21 All-Rookie,Career,223,12.7,3.2,3.1,41.6,36.7,85.9,51,15.6,14.1,
Frank Ramsey,"Hall of Fame
7x NBA Champ",Career,623,13.4,5.5,1.8,39.9,,80.4,,15.6,49.2,
Anderson Varej?o,2009-10 All-Defensive,Career,632,7.2,7.2,1.2,50.9,2.3,63,50.9,15.6,46.4,
Clarence Weatherspoon,1992-93 All-Rookie,Career,915,11.5,7.5,1.5,47.1,19.6,74.3,47.2,15.6,58.4,
Hot Rod Williams,1986-87 All-Rookie,Career,887,11,6.8,1.8,48,10.5,72.6,48,15.6,70.5,
Lucius Allen,1971 NBA Champ,Career,702,13.4,3.1,4.5,46.3,,76,,15.5,42,1
Dave DeBusschere,"Hall of Fame
8x All Star
2x NBA Champ
1968-69 All-NBA
1962-63 All-Rookie
6x All-Defensive
NBA 75th Anniv. Team",Career,875,16.1,11,2.9,43.2,,69.9,,15.5,60.8,
Sleepy Floyd,1x All Star,Career,957,12.8,2.6,5.4,44.4,32.4,81.5,47,15.5,50.6,
Josh Giddey,2021-22 All-Rookie,Career,130,14.9,7.8,6.3,45.9,29.5,72.3,49.6,15.5,4.3,
Roy Hibbert,"2x All Star
2013-14 All-Defensive",Career,662,10,6.3,1.3,46.5,25,75.5,46.5,15.5,35.9,
Rudy LaRusso,"5x All Star
1968-69 All-Defensive",Career,736,15.6,9.4,2.1,43.1,,76.7,,15.5,61.4,
Kevon Looney,3x NBA Champ,Career,449,5.1,5.6,1.6,58.2,16.9,60.6,58.5,15.5,29.1,
Sam Perkins,1984-85 All-Rookie,Career,1286,11.9,6,1.5,45.9,36.2,81.1,49.4,15.5,105.4,
Paul Pressey,3x All-Defensive,Career,724,10.6,3.9,5.1,48.5,22.2,74.9,49.1,15.5,49,
Byron Scott,"3x NBA Champ
1983-84 All-Rookie",Career,1073,14.1,2.8,2.5,48.2,37,83.3,51.4,15.5,75.2,
Tristan Thompson,"2016 NBA Champ
2011-12 All-Rookie",Career,730,9,8.4,1,51.9,26.3,60.5,52,15.5,47.6,
Marcus Thornton,2009-10 All-Rookie,Career,483,11.9,2.8,1.4,42.5,35.8,83,49.8,15.5,20,
Ben Wallace,"Hall of Fame
4x All Star
2x TRB Champ
2001-02 BLK Champ
2004 NBA Champ
5x All-NBA
6x All-Defensive
4x Def. POY",Career,1088,5.7,9.6,1.3,47.4,13.7,41.4,47.5,15.5,93.5,
Mahmoud Abdul-Rauf,"1990-91 All-Rookie
1992-93 Most Improved",Career,586,14.6,1.9,3.5,44.2,35.4,90.5,47.2,15.4,25.2,0
John Block,1x All Star,Career,597,11.9,6.6,1.3,43.3,,77.8,,15.4,32.7,
Ron Boone,"4x All Star
1971 ABA Champ
1968-69 All-Rookie
2x All-ABA
ABA All-Time Team",Career,1041,16.8,4.2,3.7,46.1,30.4,83.7,46.6,15.4,59.3,
Warren Davis,2x All Star,Career,447,12.2,9.2,2.1,48,12.5,69.1,48,15.4,29.5,
Luol Deng,"2x All Star
2004-05 All-Rookie
2011-12 All-Defensive",Career,902,14.8,6.1,2.3,45.6,33.2,76.9,48.5,15.4,74,
Andre Iguodala,"1x All Star
4x NBA Champ
2004-05 All-Rookie
2x All-Defensive
2014-15 Finals MVP",Career,1231,11.3,4.9,4.2,46.3,33,70.9,51.2,15.4,100.4,
Joe Johnson,"7x All Star
2009-10 All-NBA
2001-02 All-Rookie",Career,1277,16,4,3.9,44.1,37.1,80.2,49.7,15.4,82.9,
Stan Miasek,2x All-BAA,Career,365,10.6,7.6,1.4,33,,62.8,,15.4,31.2,
Lloyd Neal,"1977 NBA Champ
1972-73 All-Rookie",Career,435,11.1,7.7,1.5,48.5,,67.2,,15.4,22.7,
Ricky Rubio,2011-12 All-Rookie,Career,698,10.8,4.1,7.4,38.8,32.4,84.3,43.8,15.4,42.3,
Joe Smith,1995-96 All-Rookie,Career,1030,10.9,6.4,1,45.5,23.8,79,45.6,15.4,60.3,
Damon Stoudamire,"1995-96 All-Rookie
1995-96 ROY",Career,878,13.4,3.5,6.1,40.6,35.7,83.3,46.4,15.4,55.4,
Derek Anderson,"2006 NBA Champ
1997-98 All-Rookie",Career,615,12,3.2,3.4,40.8,34.1,85.3,46.3,15.3,43.9,1
Ticky Burden,1975-76 All-Rookie,Career,134,13.1,2,1.4,44.3,22.2,73.6,44.6,15.3,2.5,
Phil Chenier,"3x All Star
1978 NBA Champ
1974-75 All-NBA
1971-72 All-Rookie",Career,578,17.2,3.6,3,44.4,40,80.6,44.5,15.3,39.3,
Mel Counts,2x NBA Champ,Career,789,8.3,6,1.4,43.5,,76.4,,15.3,27.7,
Joe Dumars,"Hall of Fame
6x All Star
2x NBA Champ
3x All-NBA
1985-86 All-Rookie
5x All-Defensive
1988-89 Finals MVP",Career,1018,16.1,2.2,4.5,46,38.2,84.3,49.8,15.3,86.2,
Taj Gibson,2009-10 All-Rookie,Career,945,8.7,5.9,1,51.8,26.7,71.3,52.2,15.3,59.7,
Rickey Green,"1x All Star
1983-84 STL Champ",Career,946,9.4,1.9,5.5,46.9,20.7,80.7,47.1,15.3,47.2,
Matt Harpring,1998-99 All-Rookie,Career,665,11.5,5.1,1.4,48.1,33.3,75.3,49.4,15.3,41.9,
Steve Johnson,1x All Star,Career,626,11.7,5.5,1.2,57.2,0,63.4,57.2,15.3,26.9,
Damian Jones,2x NBA Champ,Career,240,5.2,3.4,0.7,66.2,38.3,70.6,67.7,15.3,10.4,
