,Season,Lg,Player,G,Tm
636,,,Patrick Ewing*,82,NYK
637,,,Vern Fleming,82,IND
638,,,Sleepy Floyd,82,HOU
639,,,A.C. Green,82,LAL
640,,,Darrell Griffith,82,UTA
641,,,Derek Harper,82,DAL
642,,,Hersey Hawkins,82,PHI
643,,,Rod Higgins,82,GSW
644,,,Mark Jackson,82,NYK
645,,,Buck Johnson,82,HOU
646,,,Vinnie Johnson,82,DET
647,,,Michael Jordan*,82,CHI
648,,,Jerome Kersey,82,POR
649,,,Bernard King*,82,WSB
650,,,Stacey King,82,CHI
651,,,Karl Malone*,82,UTA
652,,,Rodney McCray,82,SAC
653,,,Kevin McHale*,82,BOS
654,,,Nate McMillan,82,SEA
655,,,Reggie Miller*,82,IND
656,,,Tod Murphy,82,MIN
657,,,Hakeem Olajuwon*,82,HOU
658,,,John Paxson,82,CHI
659,,,Scottie Pippen*,82,CHI
660,,,J.R. Reid,82,CHH
661,,,Pooh Richardson,82,MIN
662,,,Fred Roberts,82,MIL
663,,,Clifford Robinson,82,POR
664,,,David Robinson*,82,SAS
665,,,Dennis Rodman*,82,DET
666,,,John Salley,82,DET
667,,,Mike Sanders,82,IND
668,,,Purvis Short,82,NJN
669,,,Rik Smits,82,IND
670,,,Rory Sparrow,82,MIA
671,,,Rod Strickland,82,TOT
672,,,Terry Teagle,82,GSW
673,,,LaSalle Thompson,82,IND
674,,,Otis Thorpe,82,HOU
675,,,Spud Webb,82,ATL
676,,,Mark West,82,PHO
677,,,Gerald Wilkins,82,NYK
678,,,Buck Williams,82,POR
679,,,Hot Rod Williams,82,CLE
680,,,Danny Young,82,POR
681,1988-89,NBA,Greg Anderson,82,SAS
682,,,Ron Anderson,82,PHI
683,,,Thurl Bailey,82,UTA
684,,,John Battle,82,ATL
685,,,Scott Brooks,82,PHI
686,,,Lester Conner,82,NJN
687,,,Earl Cureton,82,CHH
688,,,Mark Eaton,82,UTA
689,,,Craig Ehlo,82,CLE
690,,,Dale Ellis,82,SEA
691,,,Alex English*,82,DEN
692,,,Sleepy Floyd,82,HOU
693,,,Mike Gminski,82,PHI
694,,,A.C. Green,82,LAL
695,,,Sidney Green,82,NYK
696,,,Darrell Griffith,82,UTA
697,,,Ron Harper,82,CLE
698,,,Roy Hinson,82,NJN
699,,,Vinnie Johnson,82,DET
700,,,Jim Les,82,UTA
701,,,Alton Lister,82,SEA
702,,,Grant Long,82,MIA
703,,,Xavier McDaniel,82,SEA
704,,,Derrick McKey,82,SEA
705,,,Chris Mullin*,82,GSW
706,,,Charles Oakley,82,NYK
707,,,Hakeem Olajuwon*,82,HOU
